Line#,Date,"Wind Speed (RXW-WCF 21198259:21181033-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21181033-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21206909-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398709-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398712-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398712-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206911-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206912-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21398711-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21398711-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21198259:21398716-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398716-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398716-3), *, RX3000_BRW1_TNHA"
1,06/01/24 00:00:00,0.0,0.0,345,0.3,2.0,329,0.0,0.7,323,,,,0.0,1.3,59,0.3,1.7,83,0.3,12.7,285,,,
2,06/01/24 01:00:00,0.0,0.0,344,0.3,2.7,333,0.0,0.7,323,,,,0.0,1.7,62,0.3,1.7,80,0.3,7.7,275,,,
3,06/01/24 02:00:00,0.0,0.0,344,0.7,2.7,343,0.0,0.7,321,,,,0.0,1.0,39,0.7,2.0,101,0.3,17.8,300,,,
4,06/01/24 03:00:00,0.0,0.0,344,0.3,1.7,323,0.0,0.3,323,,,,0.0,1.3,3,0.3,1.3,115,0.7,32.2,299,,,
5,06/01/24 04:00:00,0.0,0.0,345,0.0,1.0,81,0.0,0.7,321,,,,0.0,0.7,1,0.3,1.3,112,1.0,49.3,306,,,
6,06/01/24 05:00:00,0.0,0.0,347,0.0,1.3,316,0.0,0.3,323,,,,0.0,1.3,6,0.0,1.3,110,0.7,29.5,307,,,
7,06/01/24 06:00:00,0.0,0.0,352,0.0,1.0,313,0.0,0.3,321,,,,0.0,1.0,358,0.0,1.0,122,0.3,0.3,309,,,
8,06/01/24 07:00:00,0.0,0.0,354,0.0,1.3,313,0.0,0.7,321,,,,0.0,1.0,358,0.0,0.7,122,0.3,0.3,251,,,
9,06/01/24 08:00:00,0.0,0.0,354,0.0,1.3,329,0.0,0.3,321,,,,0.0,0.7,358,0.0,1.3,112,0.3,0.3,272,,,
10,06/01/24 09:00:00,0.0,0.0,355,0.0,1.0,316,0.0,0.3,321,,,,0.0,4.0,358,0.0,0.7,104,0.3,0.3,307,,,
11,06/01/24 10:00:00,0.0,0.0,354,0.0,1.0,316,0.0,0.3,321,,,,0.0,0.3,0,0.0,0.7,112,0.3,0.3,307,,,
12,06/01/24 11:00:00,0.0,0.0,352,0.0,1.3,314,0.0,0.3,321,,,,0.0,0.3,0,0.0,0.7,133,0.3,0.3,307,,,
13,06/01/24 12:00:00,0.0,0.0,352,0.0,1.0,313,0.0,0.3,321,,,,0.0,0.7,0,0.0,1.0,143,0.3,0.3,312,,,
