Line#,Date,"Wind Speed (RXW-WCF 21198259:21398712-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1),m/s,RX3000_BRW1_TNHA","Wind Speed (S-WSB 21198259:21176861-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398716-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21181033-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398715-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21398711-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350901-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_Hospital","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6_BEO","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6","Wind Speed (S-WSB 21401803:21350901-1),m/s,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6_BEO","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350819-1),°,RX3000_BRW6","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3),°,RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_HOSPITAL","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_Hospital","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_HOSPITAL","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_Hospital","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_HOSPITAL","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_Hospital","Wind Direction (S-WDA 21198259:21167037-1),°,RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3),°,RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3),°,RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398716-3),°,RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3),°,RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3),°,RX3000_BRW1_TNHA","Wind Direction (S-WDA 21198259:21167037-1),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21181033-3),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21206909-3),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398709-3),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398712-3),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398715-3),°,RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398715-3),°,RX3000_BRW1_TNHA"
2224,04/09/25 18:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,04/09/25 19:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,316,258,,,,,,,,,,,,198,128,174,309,,,,,,,,,
2226,04/09/25 19:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,04/09/25 20:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,316,268,,,,,,,,,,,,197,128,174,268,,,,,,,,,
2228,04/09/25 20:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,04/09/25 21:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,313,270,,,,,,,,,,,,197,128,174,285,,,,,,,,,
2230,04/09/25 21:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,04/09/25 22:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,341,305,,,,,,,,,,,,197,128,154,305,,,,,,,,,
2232,04/09/25 22:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,04/09/25 23:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,358,302,,,,,,,,,,,,198,128,102,329,,,,,,,,,
2234,04/09/25 23:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,04/10/25 00:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,344,320,,,,,,,,,,,,198,128,102,288,,,,,,,,,
2236,04/10/25 00:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,04/10/25 01:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,344,271,,,,,,,,,,,,198,128,102,271,,,,,,,,,
2238,04/10/25 01:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,04/10/25 02:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,344,268,,,,,,,,,,,,198,128,102,284,,,,,,,,,
2240,04/10/25 02:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,04/10/25 03:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,37,244,,,,,,,,,,,,198,128,102,34,,,,,,,,,
2242,04/10/25 03:25:00 +0000,,,,,,,,,,,,,,,,,,,0.5,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,04/10/25 04:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,,197,128,102,35,,,,,,,,,
2244,04/10/25 04:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,04/10/25 05:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,,197,128,102,35,,,,,,,,,
2246,04/10/25 05:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247,04/10/25 06:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,,197,128,102,15,,,,,,,,,
2248,04/10/25 06:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,04/10/25 07:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,,197,128,102,323,,,,,,,,,
2250,04/10/25 07:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
