Line#,Date,"Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4"
1,12/01/22 00:00:00,-2.34,-2.474,-2.47,-2.646,,,
2,12/01/22 00:05:00,,,,,128.830,-2.53,-2.45
3,12/01/22 00:30:00,-2.45,-2.582,-2.47,-2.775,,,
4,12/01/22 00:35:00,,,,,128.830,-2.68,-2.66
5,12/01/22 01:00:00,-2.30,-2.496,-2.51,-2.903,,,
6,12/01/22 01:05:00,,,,,128.830,-2.60,-2.86
7,12/01/22 01:30:00,-2.43,-2.603,-2.66,-2.946,,,
8,12/01/22 01:35:00,,,,,128.830,-2.68,-2.83
9,12/01/22 02:00:00,-2.56,-2.710,-2.73,-2.968,,,
10,12/01/22 02:05:00,,,,,128.830,-2.83,-2.73
11,12/01/22 02:30:00,-2.64,-2.839,-2.92,-3.010,,,
12,12/01/22 02:35:00,,,,,128.830,-2.98,-2.77
13,12/01/22 03:00:00,-2.64,-2.903,-3.07,-3.397,,,
14,12/01/22 03:05:00,,,,,128.830,-2.96,-3.01
15,12/01/22 03:30:00,-2.68,-2.839,-2.94,-3.246,,,
16,12/01/22 03:35:00,,,,,128.830,-3.07,-3.03
17,12/01/22 04:00:00,-2.86,-3.010,-3.11,-3.354,,,
18,12/01/22 04:05:00,,,,,128.830,-3.13,-2.98
19,12/01/22 04:30:00,-3.05,-3.246,-3.28,-3.675,,,
20,12/01/22 04:35:00,,,,,128.830,-3.37,-3.33
21,12/01/22 05:00:00,-3.05,-3.204,-3.28,-3.590,,,
22,12/01/22 05:05:00,,,,,128.830,-3.46,-3.24
23,12/01/22 05:30:00,-3.78,-3.847,-3.71,-4.233,,,
24,12/01/22 05:35:00,,,,,128.830,-4.08,-3.93
25,12/01/22 06:00:00,-4.10,-4.147,-4.10,-4.490,,,
26,12/01/22 06:05:00,,,,,128.830,-4.40,-4.25
27,12/01/22 06:30:00,-4.40,-4.447,-4.34,-4.705,,,
28,12/01/22 06:35:00,,,,,128.830,-4.72,-4.57
29,12/01/22 07:00:00,-4.81,-4.876,-4.64,-5.069,,,
30,12/01/22 07:05:00,,,,,128.830,-5.07,-4.98
31,12/01/22 07:30:00,-5.13,-5.177,-4.91,-5.413,,,
32,12/01/22 07:35:00,,,,,128.830,-5.37,-5.24
33,12/01/22 08:00:00,-5.32,-5.348,-5.22,-5.520,,,
34,12/01/22 08:05:00,,,,,128.830,-5.58,-5.47
35,12/01/22 08:30:00,-5.45,-5.477,-5.30,-5.713,,,
36,12/01/22 08:35:00,,,,,128.830,-5.75,-5.62
37,12/01/22 09:00:00,-5.71,-5.756,-5.58,-5.970,,,
38,12/01/22 09:05:00,,,,,128.830,-6.01,-5.86
39,12/01/22 09:30:00,-5.88,-5.949,-5.77,-6.142,,,
40,12/01/22 09:35:00,,,,,128.830,-6.22,-6.07
41,12/01/22 10:00:00,-6.05,-6.078,-5.90,-6.442,,,
42,12/01/22 10:05:00,,,,,128.830,-6.44,-6.27
43,12/01/22 10:30:00,-6.37,-6.506,-6.27,-7.000,,,
44,12/01/22 10:35:00,,,,,128.830,-6.80,-6.65
45,12/01/22 11:00:00,-6.50,-6.635,-6.48,-7.257,,,
46,12/01/22 11:05:00,,,,,128.830,-7.00,-6.55
47,12/01/22 11:30:00,-6.78,-6.914,-6.74,-7.729,,,
48,12/01/22 11:35:00,,,,,128.830,-7.02,-6.70
49,12/01/22 12:00:00,-6.93,-7.043,-6.93,-7.472,,,
50,12/01/22 12:05:00,,,,,128.830,-7.15,-7.02
51,12/01/22 12:30:00,-7.00,-7.000,-6.97,-7.579,,,
52,12/01/22 12:35:00,,,,,128.830,-7.30,-7.23
53,12/01/22 13:00:00,-6.97,-7.193,-7.06,-7.772,,,
54,12/01/22 13:05:00,,,,,128.830,-7.40,-7.23
55,12/01/22 13:30:00,-6.97,-7.128,-7.02,-7.708,,,
56,12/01/22 13:35:00,,,,,128.830,-7.42,-7.25
57,12/01/22 14:00:00,-6.89,-7.043,-7.04,-7.965,,,
58,12/01/22 14:05:00,,,,,128.830,-7.34,-7.32
59,12/01/22 14:30:00,-7.25,-7.429,-7.34,-7.986,,,
60,12/01/22 14:35:00,,,,,128.830,-7.64,-7.55
61,12/01/22 15:00:00,-7.30,-7.407,-7.38,-8.265,,,
62,12/01/22 15:05:00,,,,,128.830,-7.75,-7.90
63,12/01/22 15:30:00,-7.10,-7.193,-7.19,-7.343,,,
64,12/01/22 15:35:00,,,,,128.830,-7.57,-7.51
65,12/01/22 16:00:00,-6.72,-6.850,-6.85,-6.549,,,
66,12/01/22 16:05:00,,,,,128.830,-7.06,-7.00
67,12/01/22 16:30:00,-6.55,-6.635,-6.63,-6.807,,,
68,12/01/22 16:35:00,,,,,128.830,-6.95,-6.97
69,12/01/22 17:00:00,-6.42,-6.464,-6.44,-6.549,,,
70,12/01/22 17:05:00,,,,,128.830,-6.59,-6.46
71,12/01/22 17:30:00,-6.07,-5.992,-6.01,-5.799,,,
72,12/01/22 17:35:00,,,,,128.830,-6.14,-5.77
73,12/01/22 18:00:00,-5.84,-5.842,-5.90,-5.842,,,
74,12/01/22 18:05:00,,,,,128.830,-5.97,-5.82
75,12/01/22 18:30:00,-5.49,-5.413,-5.43,-5.498,,,
76,12/01/22 18:35:00,,,,,128.830,-5.58,-5.39
77,12/01/22 19:00:00,-5.24,-5.134,-5.26,-5.284,,,
78,12/01/22 19:05:00,,,,,128.830,-5.49,-5.26
79,12/01/22 19:30:00,-4.23,-4.254,-4.23,-4.490,,,
80,12/01/22 19:35:00,,,,,128.830,-4.27,-4.23
81,12/01/22 20:00:00,-3.78,-4.061,-3.86,-4.147,,,
82,12/01/22 20:05:00,,,,,128.830,-3.99,-3.82
83,12/01/22 20:30:00,-3.86,-3.890,-3.84,-4.297,,,
84,12/01/22 20:35:00,,,,,128.830,-3.93,-3.78
85,12/01/22 21:00:00,-4.01,-3.890,-3.86,-4.319,,,
86,12/01/22 21:05:00,,,,,128.830,-4.14,-2.81
87,12/01/22 21:30:00,-3.89,-3.783,-3.74,-4.083,,,
88,12/01/22 21:35:00,,,,,128.830,-4.01,-3.76
89,12/01/22 22:00:00,-4.66,-4.748,-4.66,-5.155,,,
90,12/01/22 22:05:00,,,,,128.830,-4.96,-4.76
91,12/01/22 22:30:00,-5.60,-5.734,-5.62,-5.885,,,
92,12/01/22 22:35:00,,,,,128.830,-5.56,-5.64
93,12/01/22 23:00:00,-5.73,-6.142,-6.01,-6.142,,,
94,12/01/22 23:05:00,,,,,128.830,-6.09,-5.94
95,12/01/22 23:30:00,-5.94,-6.099,-5.99,-6.185,,,
96,12/01/22 23:35:00,,,,,128.830,-6.03,-5.97
97,12/02/22 00:00:00,-5.92,-6.035,-5.92,-6.185,,,
98,12/02/22 00:05:00,,,,,128.830,-5.99,-5.94
99,12/02/22 00:30:00,-6.03,-6.142,-6.03,-6.271,,,
100,12/02/22 00:35:00,,,,,128.830,-6.18,-6.05
101,12/02/22 01:00:00,-6.03,-6.078,-6.01,-6.271,,,
102,12/02/22 01:05:00,,,,,128.830,-6.24,-6.01
103,12/02/22 01:30:00,-5.90,-5.927,-5.90,-6.206,,,
104,12/02/22 01:35:00,,,,,128.830,-6.12,-5.88
105,12/02/22 02:00:00,-5.77,-5.756,-5.75,-6.078,,,
106,12/02/22 02:05:00,,,,,128.830,-6.05,-5.99
107,12/02/22 02:30:00,-5.75,-5.756,-5.77,-5.992,,,
108,12/02/22 02:35:00,,,,,128.830,-5.97,-5.90
109,12/02/22 03:00:00,-5.71,-5.734,-5.71,-6.035,,,
110,12/02/22 03:05:00,,,,,128.830,-5.90,-5.71
111,12/02/22 03:30:00,-5.62,-5.627,-5.60,-5.949,,,
112,12/02/22 03:35:00,,,,,128.830,-5.84,-5.69
113,12/02/22 04:00:00,-5.60,-5.627,-5.62,-5.863,,,
114,12/02/22 04:05:00,,,,,128.830,-5.82,-5.62
115,12/02/22 04:30:00,-5.71,-5.777,-5.73,-5.927,,,
116,12/02/22 04:35:00,,,,,128.830,-5.88,-5.71
117,12/02/22 05:00:00,-5.54,-5.477,-5.52,-5.649,,,
118,12/02/22 05:05:00,,,,,128.830,-5.75,-5.62
119,12/02/22 05:30:00,-4.96,-5.198,-5.19,-5.370,,,
120,12/02/22 05:35:00,,,,,128.830,-5.43,-5.26
121,12/02/22 06:00:00,-4.68,-4.769,-4.72,-4.941,,,
122,12/02/22 06:05:00,,,,,128.830,-4.96,-4.87
123,12/02/22 06:30:00,-3.99,-4.340,-4.29,-4.383,,,
124,12/02/22 06:35:00,,,,,128.830,-4.49,-4.29
125,12/02/22 07:00:00,-3.78,-3.954,-3.95,-4.061,,,
126,12/02/22 07:05:00,,,,,128.830,-4.06,-3.95
127,12/02/22 07:30:00,-3.31,-3.225,-3.26,-3.439,,,
128,12/02/22 07:35:00,,,,,128.830,-3.48,-3.20
129,12/02/22 08:00:00,-3.20,-3.139,-3.11,-3.268,,,
130,12/02/22 08:05:00,,,,,128.830,-3.33,-3.16
131,12/02/22 08:30:00,-2.60,-2.517,-2.53,-3.118,,,
132,12/02/22 08:35:00,,,,,128.830,-2.83,-2.53
