Line#,Date,"Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (RXW-TMB 21198259:21212510-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-TMB 21401801:21215426-1), *C, RX3000_BRW4_SSMH"
1,12/01/23 00:00:00,-10.281,-9.85,-10.36,,,,,-10.431,,-7.36,
2,12/01/23 00:05:00,,,,,,,,-10.367,,,
3,12/01/23 00:10:00,,,,,,,,-10.389,-888.88,,
4,12/01/23 00:15:00,,,,,,,,-10.324,,,
5,12/01/23 00:20:00,,,,,,,,-10.281,,,
6,12/01/23 00:25:00,,,,,,,,-10.303,,,
7,12/01/23 00:30:00,,,,,,,,-10.174,,,
8,12/01/23 00:35:00,,,,,,,,-9.809,,,
9,12/01/23 00:40:00,,,,,,,,-9.531,,,
10,12/01/23 00:45:00,,,,,,,,-9.402,,,
11,12/01/23 00:50:00,,,,,,,,-9.230,,,
12,12/01/23 00:55:00,,,,,,,,-9.145,,,
13,12/01/23 01:00:00,-8.952,-8.54,-9.18,,,,,-9.016,,-7.38,
14,12/01/23 01:05:00,,,,,,,,-9.016,,,
15,12/01/23 01:10:00,,,,,,,,-9.016,-888.88,,
16,12/01/23 01:15:00,,,,,,,,-9.016,,,
17,12/01/23 01:20:00,,,,,,,,-8.909,,,
18,12/01/23 01:25:00,,,,,,,,-8.844,,,
19,12/01/23 01:30:00,,,,,,,,-8.780,,,
20,12/01/23 01:35:00,,,,,,,,-8.651,,,
21,12/01/23 01:40:00,,,,,,,,-8.480,,,
22,12/01/23 01:45:00,,,,,,,,-8.394,,,
23,12/01/23 01:50:00,,,,,,,,-8.351,,,
24,12/01/23 01:55:00,,,,,,,,-8.222,,,
25,12/01/23 02:00:00,-7.579,-7.57,-7.87,,,,,-8.115,,-7.34,
26,12/01/23 02:05:00,,,,,,,,-7.901,,,
27,12/01/23 02:10:00,,,,,,,,-7.772,-888.88,,
28,12/01/23 02:15:00,,,,,,,,-7.343,,,
29,12/01/23 02:20:00,,,,,,,,-6.978,,,
30,12/01/23 02:25:00,,,,,,,,-6.850,,,
31,12/01/23 02:30:00,,,,,,,,-6.700,,,
32,12/01/23 02:35:00,,,,,,,,-6.700,,,
33,12/01/23 02:40:00,,,,,,,,-6.764,,,
34,12/01/23 02:45:00,,,,,,,,-6.935,,,
35,12/01/23 02:50:00,,,,,,,,-7.128,,,
36,12/01/23 02:55:00,,,,,,,,-7.236,,,
37,12/01/23 03:00:00,-7.257,-7.10,-7.32,,,,,-7.343,,-7.23,
38,12/01/23 03:05:00,,,,,,,,-7.407,,,
39,12/01/23 03:10:00,,,,,,,,-7.364,-888.88,,
40,12/01/23 03:15:00,,,,,,,,-7.343,,,
41,12/01/23 03:20:00,,,,,,,,-7.364,,,
42,12/01/23 03:25:00,,,,,,,,-7.386,,,
43,12/01/23 03:30:00,,,,,,,,-7.407,,,
44,12/01/23 03:35:00,,,,,,,,-7.450,,,
45,12/01/23 03:40:00,,,,,,,,-7.450,,,
46,12/01/23 03:45:00,,,,,,,,-7.450,,,
47,12/01/23 03:50:00,,,,,,,,-7.493,,,
48,12/01/23 03:55:00,,,,,,,,-7.472,,,
49,12/01/23 04:00:00,-7.472,-7.51,-7.72,,,,,-7.450,,-7.21,
50,12/01/23 04:05:00,,,,,,,,-7.472,,,
51,12/01/23 04:10:00,,,,,,,,-7.515,-888.88,,
52,12/01/23 04:15:00,,,,,,,,-7.557,,,
53,12/01/23 04:20:00,,,,,,,,-7.515,,,
54,12/01/23 04:25:00,,,,,,,,-7.536,,,
55,12/01/23 04:30:00,,,,,,,,-7.557,,,
56,12/01/23 04:35:00,,,,,,,,-7.557,,,
57,12/01/23 04:40:00,,,,,,,,-7.472,,,
58,12/01/23 04:45:00,,,,,,,,-7.515,,,
59,12/01/23 04:50:00,,,,,,,,-7.429,,,
60,12/01/23 04:55:00,,,,,,,,-7.407,,,
61,12/01/23 05:00:00,-7.515,-7.55,-7.70,,,,,-7.407,,-7.21,
62,12/01/23 05:05:00,,,,,,,,-7.450,,,
63,12/01/23 05:10:00,,,,,,,,-7.450,-888.88,,
64,12/01/23 05:15:00,,,,,,,,-7.429,,,
65,12/01/23 05:20:00,,,,,,,,-7.407,,,
66,12/01/23 05:25:00,,,,,,,,-7.386,,,
67,12/01/23 05:30:00,,,,,,,,-7.300,,,
68,12/01/23 05:35:00,,,,,,,,-7.343,,,
69,12/01/23 05:40:00,,,,,,,,-7.300,,,
70,12/01/23 05:45:00,,,,,,,,-7.300,,,
71,12/01/23 05:50:00,,,,,,,,-7.279,,,
72,12/01/23 05:55:00,,,,,,,,-7.300,,,
73,12/01/23 06:00:00,-7.364,-7.42,-7.60,,,,,-7.536,,-7.17,
74,12/01/23 06:05:00,,,,,,,,-7.643,,,
75,12/01/23 06:10:00,,,,,,,,-7.622,-888.88,,
76,12/01/23 06:15:00,,,,,,,,-7.643,,,
77,12/01/23 06:20:00,,,,,,,,-7.600,,,
78,12/01/23 06:25:00,,,,,,,,-7.729,,,
79,12/01/23 06:30:00,,,,,,,,-7.965,,,
80,12/01/23 06:35:00,,,,,,,,-8.051,,,
81,12/01/23 06:40:00,,,,,,,,-8.115,,,
82,12/01/23 06:45:00,,,,,,,,-8.158,,,
83,12/01/23 06:50:00,,,,,,,,-8.158,,,
84,12/01/23 06:55:00,,,,,,,,-8.158,,,
85,12/01/23 07:00:00,-8.201,-8.22,-8.41,,,,,-8.179,,-7.21,
86,12/01/23 07:05:00,,,,,,,,-8.287,,,
87,12/01/23 07:10:00,,,,,,,,-8.287,-888.88,,
88,12/01/23 07:15:00,,,,,,,,-8.287,,,
89,12/01/23 07:20:00,,,,,,,,-8.201,,,
90,12/01/23 07:25:00,,,,,,,,-8.222,,,
91,12/01/23 07:30:00,,,,,,,,-8.287,,,
92,12/01/23 07:35:00,,,,,,,,-8.394,,,
93,12/01/23 07:40:00,,,,,,,,-8.437,,,
94,12/01/23 07:45:00,,,,,,,,-8.544,,,
95,12/01/23 07:50:00,,,,,,,,-8.630,,,
96,12/01/23 07:55:00,,,,,,,,-8.608,,,
97,12/01/23 08:00:00,-8.501,-8.54,-8.73,,,,,-8.608,,-7.23,
98,12/01/23 08:05:00,,,,,,,,-8.587,,,
99,12/01/23 08:10:00,,,,,,,,-8.523,-888.88,,
100,12/01/23 08:15:00,,,,,,,,-8.480,,,
101,12/01/23 08:20:00,,,,,,,,-8.501,,,
102,12/01/23 08:25:00,,,,,,,,-8.523,,,
103,12/01/23 08:30:00,,,,,,,,-8.523,,,
104,12/01/23 08:35:00,,,,,,,,-8.480,,,
105,12/01/23 08:40:00,,,,,,,,-8.437,,,
106,12/01/23 08:45:00,,,,,,,,-8.480,,,
107,12/01/23 08:50:00,,,,,,,,-8.523,,,
108,12/01/23 08:55:00,,,,,,,,-8.437,,,
109,12/01/23 09:00:00,-8.480,-8.50,-8.67,,,,,-8.501,,-7.25,
110,12/01/23 09:05:00,,,,,,,,-8.480,,,
111,12/01/23 09:10:00,,,,,,,,-8.458,-888.88,,
112,12/01/23 09:15:00,,,,,,,,-8.437,,,
113,12/01/23 09:20:00,,,,,,,,-8.458,,,
114,12/01/23 09:25:00,,,,,,,,-8.351,,,
115,12/01/23 09:30:00,,,,,,,,-8.394,,,
116,12/01/23 09:35:00,,,,,,,,-8.394,,,
117,12/01/23 09:40:00,,,,,,,,-8.437,,,
118,12/01/23 09:45:00,,,,,,,,-8.480,,,
119,12/01/23 09:50:00,,,,,,,,-8.480,,,
120,12/01/23 09:55:00,,,,,,,,-8.501,,,
121,12/01/23 10:00:00,-8.673,-8.63,-8.78,,,,,-8.523,,-7.30,
122,12/01/23 10:05:00,,,,,,,,-8.587,,,
123,12/01/23 10:10:00,,,,,,,,-8.523,-888.88,,
124,12/01/23 10:15:00,,,,,,,,-8.458,,,
125,12/01/23 10:20:00,,,,,,,,-8.458,,,
126,12/01/23 10:25:00,,,,,,,,-8.415,,,
127,12/01/23 10:30:00,,,,,,,,-8.372,,,
128,12/01/23 10:35:00,,,,,,,,-8.394,,,
129,12/01/23 10:40:00,,,,,,,,-8.372,,,
130,12/01/23 10:45:00,,,,,,,,-8.372,,,
131,12/01/23 10:50:00,,,,,,,,-8.394,,,
132,12/01/23 10:55:00,,,,,,,,-8.394,,,
