Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401800:21206910-3), *, RX3000_BRW5_BUECI","Wind Direction (S-WDA 21401800:21350853-1), *, RX3000_BRW5_BUECI","Wind Direction (RXW-WCF 21401800:21398717-3), *, RX3000_BRW5_BUECI","Wind Direction (RXW-WCF 21401800:21398719-3), *, RX3000_BRW5_BUECI","Wind Direction (RXW-WCF 21401800:21398722-3), *, RX3000_BRW5_BUECI","Wind Direction (RXW-WCF 21401800:21398724-3), *, RX3000_BRW5_BUECI","Wind Direction (RXW-WCF 21401800:21398737-3), *, RX3000_BRW5_BUECI","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
1,04/01/23 00:00:00,32,358,303,309,11,,,,,18,246,,59,261,
2,04/01/23 00:40:00,,,,,,,,,,,,,,,310
3,04/01/23 01:00:00,31,358,330,316,20,,,,,355,254,,65,307,
4,04/01/23 01:40:00,,,,,,,,,,,,,,,320
5,04/01/23 02:00:00,32,358,296,303,3,,,,,337,241,,70,20,
6,04/01/23 02:40:00,,,,,,,,,,,,,,,337
7,04/01/23 03:00:00,32,358,314,309,38,,,,,329,241,,66,298,
8,04/01/23 03:40:00,,,,,,,,,,,,,,,341
9,04/01/23 04:00:00,32,358,83,309,52,,,,,336,246,,53,289,
10,04/01/23 04:40:00,,,,,,,,,,,,,,,341
11,04/01/23 05:00:00,32,358,97,309,73,,,,,8,251,,45,282,
12,04/01/23 05:40:00,,,,,,,,,,,,,,,341
13,04/01/23 06:00:00,250,358,107,58,55,,,,,41,32,,25,348,
14,04/01/23 06:40:00,,,,,,,,,,,,,,,341
15,04/01/23 07:00:00,234,358,107,97,66,,,,,49,55,,35,42,
16,04/01/23 07:40:00,,,,,,,,,,,,,,,341
17,04/01/23 08:00:00,226,358,107,97,4,,,,,76,55,,348,21,
18,04/01/23 08:40:00,,,,,,,,,,,,,,,341
19,04/01/23 09:00:00,223,358,107,97,358,,,,,84,53,,4,14,
20,04/01/23 09:40:00,,,,,,,,,,,,,,,341
21,04/01/23 10:00:00,223,358,107,97,4,,,,,79,46,,348,18,
22,04/01/23 10:40:00,,,,,,,,,,,,,,,341
23,04/01/23 11:00:00,223,358,104,97,303,,,,,28,254,,355,348,
24,04/01/23 11:40:00,,,,,,,,,,,,,,,341
25,04/01/23 12:00:00,219,358,107,97,278,,,,,35,258,,357,343,
26,04/01/23 12:40:00,,,,,,,,,,,,,,,341
27,04/01/23 13:00:00,219,358,108,98,28,,,,,76,51,,25,34,
28,04/01/23 13:40:00,,,,,,,,,,,,,,,341
29,04/01/23 14:00:00,219,358,108,102,4,,,,,87,53,,324,48,
30,04/01/23 14:40:00,,,,,,,,,,,,,,,316
31,04/01/23 15:00:00,219,358,108,107,352,,,,,88,55,,24,41,
32,04/01/23 15:40:00,,,,,,,,,,,,,,,219
33,04/01/23 16:00:00,261,358,108,105,22,,,,,90,58,,20,53,
34,04/01/23 16:40:00,,,,,,,,,,,,,,,236
35,04/01/23 17:00:00,321,358,105,111,41,,,,,93,59,,62,60,
36,04/01/23 17:40:00,,,,,,,,,,,,,,,211
37,04/01/23 18:00:00,347,358,97,118,32,,,,,95,58,,60,67,
38,04/01/23 18:40:00,,,,,,,,,,,,,,,230
39,04/01/23 19:00:00,295,358,98,108,45,,,,,97,59,,17,55,
40,04/01/23 19:40:00,,,,,,,,,,,,,,,204
41,04/01/23 20:00:00,289,358,94,100,32,,,,,114,53,,324,52,
42,04/01/23 20:40:00,,,,,,,,,,,,,,,202
43,04/01/23 21:00:00,274,358,307,100,22,,,,,121,52,,310,45,
44,04/01/23 21:40:00,,,,,,,,,,,,,,,202
45,04/01/23 22:00:00,295,358,83,104,45,,,,,124,52,,310,51,
46,04/01/23 22:40:00,,,,,,,,,,,,,,,195
47,04/01/23 23:00:00,260,358,338,102,15,,,,,121,53,,309,41,
48,04/01/23 23:40:00,,,,,,,,,,,,,,,195
49,04/02/23 00:00:00,240,358,289,101,358,,,,,117,55,,300,32,
50,04/02/23 00:40:00,,,,,,,,,,,,,,,191
51,04/02/23 01:00:00,240,358,282,107,354,,,,,115,58,,299,21,
52,04/02/23 01:40:00,,,,,,,,,,,,,,,184
53,04/02/23 02:00:00,226,358,272,117,348,,,,,108,60,,300,10,
54,04/02/23 02:40:00,,,,,,,,,,,,,,,175
55,04/02/23 03:00:00,220,358,232,131,345,,,,,101,60,,305,355,
56,04/02/23 03:40:00,,,,,,,,,,,,,,,168
57,04/02/23 04:00:00,219,358,173,132,331,,,,,94,76,,306,340,
58,04/02/23 04:40:00,,,,,,,,,,,,,,,154
59,04/02/23 05:00:00,213,358,111,128,291,,,,,74,234,,310,310,
60,04/02/23 05:40:00,,,,,,,,,,,,,,,152
61,04/02/23 06:00:00,219,358,102,117,309,,,,,87,87,,307,323,
62,04/02/23 06:40:00,,,,,,,,,,,,,,,163
63,04/02/23 07:00:00,220,358,104,124,334,,,,,94,67,,306,347,
64,04/02/23 07:40:00,,,,,,,,,,,,,,,168
65,04/02/23 08:00:00,219,358,170,135,350,,,,,101,62,,303,358,
66,04/02/23 08:40:00,,,,,,,,,,,,,,,170
67,04/02/23 09:00:00,219,358,267,142,352,,,,,108,60,,300,7,
68,04/02/23 09:40:00,,,,,,,,,,,,,,,175
69,04/02/23 10:00:00,226,358,282,117,350,,,,,115,60,,296,20,
70,04/02/23 10:40:00,,,,,,,,,,,,,,,180
71,04/02/23 11:00:00,223,358,285,119,348,,,,,117,59,,295,21,
72,04/02/23 11:40:00,,,,,,,,,,,,,,,177
73,04/02/23 12:00:00,219,358,257,149,351,,,,,107,60,,302,3,
74,04/02/23 12:40:00,,,,,,,,,,,,,,,173
75,04/02/23 13:00:00,219,358,272,154,351,,,,,111,59,,300,13,
76,04/02/23 13:40:00,,,,,,,,,,,,,,,173
77,04/02/23 14:00:00,219,358,257,209,351,,,,,104,60,,303,4,
78,04/02/23 14:40:00,,,,,,,,,,,,,,,174
79,04/02/23 15:00:00,222,358,272,143,348,,,,,110,60,,300,13,
80,04/02/23 15:40:00,,,,,,,,,,,,,,,183
