Line#,Date,"Wind Speed (S-WSB 21198259:21176861-1), m/s, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21181033-1), m/s, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1), m/s, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1), m/s, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398712-1), m/s, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1), m/s, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1), m/s, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401800:21206910-1), m/s, RX3000_BRW5_BUECI","Wind Speed (S-WSB 21401800:21350917-1), m/s, RX3000_BRW5_BUECI","Wind Speed (RXW-WCF 21401800:21398717-1), m/s, RX3000_BRW5_BUECI","Wind Speed (RXW-WCF 21401800:21398719-1), m/s, RX3000_BRW5_BUECI","Wind Speed (RXW-WCF 21401800:21398722-1), m/s, RX3000_BRW5_BUECI","Wind Speed (RXW-WCF 21401800:21398724-1), m/s, RX3000_BRW5_BUECI","Wind Speed (RXW-WCF 21401800:21398737-1), m/s, RX3000_BRW5_BUECI","Wind Speed (S-WSB 21401803:21350915-1), m/s, RX3000_BRW6_BEO"
1,04/01/23 00:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.7,0.0,
2,04/01/23 00:40:00,,,,,,,,,,,,,,,0.0
3,04/01/23 01:00:00,0.0,0.0,0.3,0.0,0.0,,,,0.0,0.0,0.0,,0.7,0.0,
4,04/01/23 01:40:00,,,,,,,,,,,,,,,1.0
5,04/01/23 02:00:00,0.0,0.3,0.7,0.0,0.0,,,,0.0,0.0,0.0,,1.3,0.0,
6,04/01/23 02:40:00,,,,,,,,,,,,,,,1.0
7,04/01/23 03:00:00,0.0,0.7,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.3,0.0,
8,04/01/23 03:40:00,,,,,,,,,,,,,,,0.5
9,04/01/23 04:00:00,0.0,1.0,0.3,0.0,0.0,,,,0.0,0.0,0.7,,0.3,0.0,
10,04/01/23 04:40:00,,,,,,,,,,,,,,,0.0
11,04/01/23 05:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.3,0.0,
12,04/01/23 05:40:00,,,,,,,,,,,,,,,0.0
13,04/01/23 06:00:00,0.0,0.3,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.3,0.0,
14,04/01/23 06:40:00,,,,,,,,,,,,,,,0.0
15,04/01/23 07:00:00,0.0,0.3,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.3,0.0,
16,04/01/23 07:40:00,,,,,,,,,,,,,,,0.0
17,04/01/23 08:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.3,0.0,
18,04/01/23 08:40:00,,,,,,,,,,,,,,,0.0
19,04/01/23 09:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.3,0.0,
20,04/01/23 09:40:00,,,,,,,,,,,,,,,0.0
21,04/01/23 10:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.3,0.0,
22,04/01/23 10:40:00,,,,,,,,,,,,,,,0.0
23,04/01/23 11:00:00,0.0,0.0,0.3,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,
24,04/01/23 11:40:00,,,,,,,,,,,,,,,0.0
25,04/01/23 12:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,
26,04/01/23 12:40:00,,,,,,,,,,,,,,,0.0
27,04/01/23 13:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.3,0.0,
28,04/01/23 13:40:00,,,,,,,,,,,,,,,0.0
29,04/01/23 14:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.3,0.0,
30,04/01/23 14:40:00,,,,,,,,,,,,,,,0.0
31,04/01/23 15:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.7,0.0,
32,04/01/23 15:40:00,,,,,,,,,,,,,,,0.0
33,04/01/23 16:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.7,0.0,
34,04/01/23 16:40:00,,,,,,,,,,,,,,,0.0
35,04/01/23 17:00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.3,,0.7,0.0,
36,04/01/23 17:40:00,,,,,,,,,,,,,,,0.0
