Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (RXW-TMB 21401801:21215426-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI"
1,04/01/23 00:00:00,-12.53,-12.62,-13.19,128.830,,,,,-13.19,-12.040,-13.17,-12.98,-13.62,-13.39
2,04/01/23 00:40:00,,,,,,,-7.815,,,,,,,
3,04/01/23 01:00:00,-12.98,-13.04,-13.67,128.830,,,,,-13.41,-12.641,-13.09,-13.04,-12.68,-13.54
4,04/01/23 01:40:00,,,,,,,-12.405,,,,,,,
5,04/01/23 02:00:00,-13.39,-13.88,-14.65,128.830,,,,,-13.39,-13.777,-14.01,-13.54,-13.54,-13.77
6,04/01/23 02:40:00,,,,,,,-13.177,,,,,,,
7,04/01/23 03:00:00,-14.03,-14.59,-14.93,128.830,,,,,-14.82,-14.421,-14.52,-14.31,-15.00,-14.14
8,04/01/23 03:40:00,,,,,,,-14.978,,,,,,,
9,04/01/23 04:00:00,-14.20,-15.04,-15.19,128.830,,,,,-15.06,-15.171,-15.13,-14.72,-15.30,-14.18
10,04/01/23 04:40:00,,,,,,,-15.815,,,,,,,
11,04/01/23 05:00:00,-14.80,-15.19,-15.28,128.830,,,,,-15.28,-15.236,-15.28,-15.00,-15.32,-14.85
12,04/01/23 05:40:00,,,,,,,-16.265,,,,,,,
13,04/01/23 06:00:00,-15.88,-15.73,-15.60,128.830,,,,,-15.98,-15.858,-15.98,-15.94,-15.94,-15.00
14,04/01/23 06:40:00,,,,,,,-16.222,,,,,,,
15,04/01/23 07:00:00,-15.66,-15.58,-15.53,128.830,,,,,-15.73,-15.665,-15.81,-15.58,-15.75,-14.78
16,04/01/23 07:40:00,,,,,,,-16.265,,,,,,,
17,04/01/23 08:00:00,-15.32,-15.51,-15.36,128.830,,,,,-15.53,-15.536,-15.58,-15.32,-15.55,-15.00
18,04/01/23 08:40:00,,,,,,,-16.029,,,,,,,
19,04/01/23 09:00:00,-15.40,-15.47,-15.47,128.830,,,,,-15.32,-15.622,-15.66,-15.49,-15.58,-15.08
20,04/01/23 09:40:00,,,,,,,-15.815,,,,,,,
21,04/01/23 10:00:00,-15.23,-15.43,-15.38,128.830,,,,,-15.43,-15.472,-15.47,-15.34,-15.40,-15.02
22,04/01/23 10:40:00,,,,,,,-15.922,,,,,,,
23,04/01/23 11:00:00,-15.36,-15.51,-15.68,128.830,,,,,-15.55,-15.686,-15.68,-15.40,-15.60,-14.70
24,04/01/23 11:40:00,,,,,,,-16.051,,,,,,,
25,04/01/23 12:00:00,-15.40,-15.62,-15.47,128.830,,,,,-15.73,-15.729,-15.73,-15.64,-15.68,-14.82
26,04/01/23 12:40:00,,,,,,,-16.201,,,,,,,
27,04/01/23 13:00:00,-15.81,-15.94,-15.58,128.830,,,,,-15.98,-15.965,-15.90,-16.03,-15.94,-15.60
28,04/01/23 13:40:00,,,,,,,-16.373,,,,,,,
29,04/01/23 14:00:00,-15.96,-16.05,-15.88,128.830,,,,,-16.20,-16.179,-16.07,-15.98,-16.15,-13.88
30,04/01/23 14:40:00,,,,,,,-16.608,,,,,,,
31,04/01/23 15:00:00,-16.30,-16.39,-15.94,128.830,,,,,-16.43,-16.394,-16.35,-16.41,-16.30,-16.13
32,04/01/23 15:40:00,,,,,,,-16.415,,,,,,,
33,04/01/23 16:00:00,-16.26,-16.22,-15.83,128.830,,,,,-16.30,-15.922,-16.13,-16.30,-16.18,-15.90
34,04/01/23 16:40:00,,,,,,,-16.029,,,,,,,
35,04/01/23 17:00:00,-15.77,-15.90,-15.04,128.830,,,,,-16.18,-15.257,-15.23,-16.05,-15.81,-15.73
36,04/01/23 17:40:00,,,,,,,-15.322,,,,,,,
37,04/01/23 18:00:00,-15.90,-15.60,-14.89,128.830,,,,,-16.15,-14.850,-14.87,-15.88,-15.53,-15.58
38,04/01/23 18:40:00,,,,,,,-15.107,,,,,,,
39,04/01/23 19:00:00,-15.85,-15.51,-14.37,128.830,,,,,-16.18,-14.978,-14.12,-15.75,-15.40,-13.65
40,04/01/23 19:40:00,,,,,,,-16.330,,,,,,,
41,04/01/23 20:00:00,-16.35,-16.05,-14.72,128.830,,,,,-16.50,-15.086,-14.93,-16.22,-15.68,-13.30
42,04/01/23 20:40:00,,,,,,,-17.145,,,,,,,
