Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398621-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
1,04/01/23 00:00:00,137,107,134,74,146,,,158,123,153,74,173,,,,
2,04/01/23 00:40:00,,,,,,,,,,,,,,,,241
3,04/01/23 01:00:00,126,94,122,68,137,,,151,114,148,71,159,,,,
4,04/01/23 01:40:00,,,,,,,,,,,,,,,,207
5,04/01/23 02:00:00,98,78,107,57,117,,,126,93,129,59,128,,,,
6,04/01/23 02:40:00,,,,,,,,,,,,,,,,158
7,04/01/23 03:00:00,47,42,63,33,68,,,68,51,73,33,59,29,,,
8,04/01/23 03:40:00,,,,,,,,,,,,,,,,52
9,04/01/23 04:00:00,19,19,31,14,28,,,31,24,34,17,27,21,,,
10,04/01/23 04:40:00,,,,,,,,,,,,,,,,18
11,04/01/23 05:00:00,7,7,12,4,9,,,12,9,12,7,9,12,,,
12,04/01/23 05:40:00,,,,,,,,,,,,,,,,2
13,04/01/23 06:00:00,1,1,2,1,1,,,2,1,2,1,1,2,,,
14,04/01/23 06:40:00,,,,,,,,,,,,,,,,1
15,04/01/23 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
16,04/01/23 07:40:00,,,,,,,,,,,,,,,,1
17,04/01/23 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
18,04/01/23 08:40:00,,,,,,,,,,,,,,,,1
19,04/01/23 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
20,04/01/23 09:40:00,,,,,,,,,,,,,,,,1
21,04/01/23 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
22,04/01/23 10:40:00,,,,,,,,,,,,,,,,1
23,04/01/23 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
24,04/01/23 11:40:00,,,,,,,,,,,,,,,,1
25,04/01/23 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
26,04/01/23 12:40:00,,,,,,,,,,,,,,,,1
27,04/01/23 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
28,04/01/23 13:40:00,,,,,,,,,,,,,,,,1
29,04/01/23 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
30,04/01/23 14:40:00,,,,,,,,,,,,,,,,1
31,04/01/23 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
32,04/01/23 15:40:00,,,,,,,,,,,,,,,,17
33,04/01/23 16:00:00,16,4,6,2,4,,,7,4,6,3,18,6,,,
34,04/01/23 16:40:00,,,,,,,,,,,,,,,,63
35,04/01/23 17:00:00,39,18,27,16,21,,,32,23,23,14,47,,,,
36,04/01/23 17:40:00,,,,,,,,,,,,,,,,89
37,04/01/23 18:00:00,51,29,43,24,32,,,52,36,36,24,59,,,,
38,04/01/23 18:40:00,,,,,,,,,,,,,,,,124
39,04/01/23 19:00:00,76,46,61,36,46,,,76,51,51,34,86,,,,
40,04/01/23 19:40:00,,,,,,,,,,,,,,,,211
41,04/01/23 20:00:00,96,103,84,52,62,,,108,72,67,48,108,,,,
42,04/01/23 20:40:00,,,,,,,,,,,,,,,,301
43,04/01/23 21:00:00,187,161,118,77,99,,,162,104,102,66,164,,,,
44,04/01/23 21:40:00,,,,,,,,,,,,,,,,273
45,04/01/23 22:00:00,156,186,127,89,127,,,191,119,131,77,168,,,,
46,04/01/23 22:40:00,,,,,,,,,,,,,,,,263
47,04/01/23 23:00:00,144,163,138,83,153,,,182,113,131,79,176,,,,
48,04/01/23 23:40:00,,,,,,,,,,,,,,,,272
49,04/02/23 00:00:00,154,156,142,188,153,,,178,111,173,81,234,,,,
50,04/02/23 00:40:00,,,,,,,,,,,,,,,,287
51,04/02/23 01:00:00,194,149,147,228,163,,,179,107,179,84,219,,,,
52,04/02/23 01:40:00,,,,,,,,,,,,,,,,202
53,04/02/23 02:00:00,141,103,108,178,137,,,138,77,147,68,148,,,,
54,04/02/23 02:40:00,,,,,,,,,,,,,,,,143
55,04/02/23 03:00:00,86,62,63,128,103,,,94,48,112,46,92,22,,,
56,04/02/23 03:40:00,,,,,,,,,,,,,,,,117
57,04/02/23 04:00:00,19,27,59,108,86,,,44,19,69,23,36,18,,,
58,04/02/23 04:40:00,,,,,,,,,,,,,,,,29
59,04/02/23 05:00:00,9,9,54,76,31,,,11,6,18,11,13,14,,,
60,04/02/23 05:40:00,,,,,,,,,,,,,,,,4
61,04/02/23 06:00:00,1,2,11,9,3,,,2,1,6,2,1,3,,,
62,04/02/23 06:40:00,,,,,,,,,,,,,,,,1
63,04/02/23 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
64,04/02/23 07:40:00,,,,,,,,,,,,,,,,1
65,04/02/23 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
66,04/02/23 08:40:00,,,,,,,,,,,,,,,,1
67,04/02/23 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
68,04/02/23 09:40:00,,,,,,,,,,,,,,,,1
69,04/02/23 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
70,04/02/23 10:40:00,,,,,,,,,,,,,,,,1
71,04/02/23 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
72,04/02/23 11:40:00,,,,,,,,,,,,,,,,1
73,04/02/23 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
74,04/02/23 12:40:00,,,,,,,,,,,,,,,,1
75,04/02/23 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,,
76,04/02/23 13:40:00,,,,,,,,,,,,,,,,1
