Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4","Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398715-3), *, RX3000_BRW1","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6"
1,06/17/22 00:00:00,,,,,,,,,,62,334,,314,277,65,122,,18
2,06/17/22 00:05:00,,,,,,,,,,70,334,,317,278,65,129,,20
3,06/17/22 00:10:00,,,,,,,,,,76,334,,310,279,65,131,,37
4,06/17/22 00:15:00,,,,,,,,,,74,334,,340,281,65,125,,58
5,06/17/22 00:20:00,,,,,,,,,,53,334,,317,286,65,124,,58
6,06/17/22 00:25:00,,,,,,,,,,53,334,,320,286,65,131,,65
7,06/17/22 00:30:00,,,,,,,,,,46,334,,327,286,65,119,,66
8,06/17/22 00:35:00,,,,,,,,,,39,334,,333,288,66,132,,66
9,06/17/22 00:40:00,,,,,,,,,,32,334,,67,288,72,129,,66
10,06/17/22 00:45:00,,,,,,,,,,66,334,,104,288,104,138,,72
11,06/17/22 00:50:00,,,,,,,,306,,69,334,,67,286,142,125,,74
12,06/17/22 00:55:00,,,,,,,,312,153,65,334,,93,288,163,139,,74
13,06/17/22 01:00:00,,,,,,,,314,150,41,334,,105,288,175,147,,74
14,06/17/22 01:05:00,,,,,,,,307,147,53,334,,112,288,177,149,,74
15,06/17/22 01:10:00,,,,,,,,312,157,108,334,,111,288,211,145,,74
16,06/17/22 01:15:00,,,,,,,,314,166,170,320,,115,288,241,142,,77
17,06/17/22 01:20:00,,,,,,,,317,166,212,331,,114,286,239,142,,77
