Line#,Date,"Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398676-1), *C, RX3000_BRW1","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21362254-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21362256-1), *C, RX3000_BRW5","Temperature (S-THC 21401800:21390851-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398671-1), *C, RX3000_BRW5"
1,06/19/22 00:00:00,-0.77,-1.29,1.28,4.410,11.41,,0.979,1.11,7.96,,,,,,,
2,06/19/22 00:05:00,-0.80,-1.33,1.71,4.475,11.60,,0.807,1.13,8.64,,,,,,,
3,06/19/22 00:10:00,-0.75,-1.10,1.78,4.453,11.58,,0.743,1.01,8.34,,,,,,,
4,06/19/22 00:15:00,-0.88,-1.16,2.10,4.282,10.62,,0.679,1.22,8.68,,,,,,,
5,06/19/22 00:20:00,-0.86,-1.20,2.10,4.303,7.93,,0.614,1.50,7.10,,,,,,,
6,06/19/22 00:25:00,-0.82,-1.20,2.06,4.475,8.62,,0.700,1.73,6.35,,,,,,,
7,06/19/22 00:30:00,-1.01,-1.10,2.42,4.153,7.46,,0.721,1.41,6.73,,,,,,,
8,06/19/22 00:35:00,-0.95,-1.03,2.25,4.475,7.81,,0.786,2.01,7.05,,,,,,,
9,06/19/22 00:40:00,-0.93,-0.95,2.40,4.432,7.12,,0.657,1.76,6.41,,,,,,,
10,06/19/22 00:45:00,-0.93,-1.10,2.59,4.818,7.23,,0.636,1.97,5.87,,,,,,,
11,06/19/22 00:50:00,-0.93,-0.95,3.06,5.183,7.38,,0.636,1.58,5.19,,,,,,,
12,06/19/22 00:55:00,-0.86,-0.71,2.81,5.440,6.52,,0.400,1.71,5.08,,,,,,,
13,06/19/22 01:00:00,-0.60,-0.62,2.98,5.226,7.68,,0.400,1.78,5.62,,,,,,,
14,06/19/22 01:05:00,-0.58,-0.30,3.32,5.161,7.31,,0.657,1.99,6.17,,,,,,,
15,06/19/22 01:10:00,-0.39,-0.43,3.56,5.075,7.27,,0.743,2.19,5.87,,,,,,,
16,06/19/22 01:15:00,-0.47,-0.32,3.62,5.204,7.89,,0.721,2.06,5.45,,,,,,,
17,06/19/22 01:20:00,-0.09,0.00,3.88,5.032,8.47,,1.000,2.27,5.57,,,,,,,
18,06/19/22 01:25:00,0.32,0.30,4.67,5.011,9.05,,1.472,2.74,5.38,,,,,,,
19,06/19/22 01:30:00,0.75,0.55,5.90,4.861,9.46,,1.365,3.09,4.42,,,,,,,
