Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398618-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398624-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390411-1), W/m^2, RX3000_BRW5"
1,06/19/22 00:00:00,594,66,62,826,607,59,654,,672,,,,,,
2,06/19/22 00:05:00,609,72,59,813,602,56,648,,643,,,,,,
3,06/19/22 00:10:00,606,77,66,839,593,56,647,,554,,,,,,
4,06/19/22 00:15:00,562,92,87,742,563,58,624,,553,,,,,,
5,06/19/22 00:20:00,571,92,77,762,592,54,637,,578,,,,,,
6,06/19/22 00:25:00,501,84,77,703,597,46,611,,577,,,,,,
7,06/19/22 00:30:00,477,82,84,691,593,46,609,,593,,,,,,
8,06/19/22 00:35:00,603,98,88,712,587,51,619,,624,,,,,,
9,06/19/22 00:40:00,459,83,92,653,591,43,589,,561,,,,,,
10,06/19/22 00:45:00,521,61,66,789,588,52,609,,598,,,,,,
11,06/19/22 00:50:00,528,48,59,799,562,46,583,,613,,,,,,
12,06/19/22 00:55:00,573,59,66,728,574,41,594,,609,,,,,,
13,06/19/22 01:00:00,584,32,43,797,572,47,589,,613,,,,,,
14,06/19/22 01:05:00,574,29,37,787,566,42,584,,617,,,,,,
15,06/19/22 01:10:00,568,29,34,803,566,41,581,,608,,,,,,
16,06/19/22 01:15:00,562,29,34,797,558,34,576,,606,,,,,,
17,06/19/22 01:20:00,556,28,34,788,554,34,572,,601,,,,,,
18,06/19/22 01:25:00,548,28,34,756,551,33,567,,597,,,,,,
19,06/19/22 01:30:00,543,28,34,762,547,32,562,,593,,,,,,
20,06/19/22 01:35:00,537,28,34,764,542,31,554,,588,,,,,,
21,06/19/22 01:40:00,529,28,34,754,537,31,547,,583,,,,,,
22,06/19/22 01:45:00,522,28,36,744,534,33,542,,578,,,,,,
23,06/19/22 01:50:00,517,28,36,733,511,52,544,,574,,,,,,
24,06/19/22 01:55:00,511,28,37,723,516,73,487,,569,,,,,,
25,06/19/22 02:00:00,509,28,38,707,474,48,462,,563,,,,,,
26,06/19/22 02:05:00,499,29,38,699,534,69,514,,563,,,,,,
27,06/19/22 02:10:00,491,28,41,681,444,79,506,,546,,,,,,
28,06/19/22 02:15:00,484,27,38,671,408,78,487,,546,,,,,,
29,06/19/22 02:20:00,483,28,39,657,469,34,507,,542,,,,,,
30,06/19/22 02:25:00,474,28,42,637,484,38,492,,529,,,,,,
31,06/19/22 02:30:00,361,26,39,622,428,47,496,,527,,,,,,
32,06/19/22 02:35:00,453,31,41,617,494,52,432,,528,,,,,,
33,06/19/22 02:40:00,358,32,64,511,438,79,454,,439,,,,,,
34,06/19/22 02:45:00,442,26,44,571,391,64,431,,508,,,,,,
35,06/19/22 02:50:00,436,26,43,551,456,34,457,,494,,,,,,
36,06/19/22 02:55:00,432,26,43,543,477,47,394,,496,,,,,,
37,06/19/22 03:00:00,426,26,269,531,378,51,359,,484,,,,,,
38,06/19/22 03:05:00,417,24,442,499,422,57,338,,482,,,,,,
39,06/19/22 03:10:00,409,24,449,502,361,33,103,,476,,,,,,
40,06/19/22 03:15:00,402,23,473,232,426,38,67,,468,,,,,,
41,06/19/22 03:20:00,396,23,473,89,396,31,56,,462,,,,,,
42,06/19/22 03:25:00,388,22,469,83,423,23,46,,456,,,,,,
43,06/19/22 03:30:00,382,22,464,77,418,23,36,,449,,,,,,
44,06/19/22 03:35:00,376,22,463,71,412,23,33,,443,,,,,,
45,06/19/22 03:40:00,284,22,459,66,404,22,33,,434,,,,,,
46,06/19/22 03:45:00,349,22,456,61,398,22,31,,428,,,,,,
47,06/19/22 03:50:00,354,21,451,57,389,22,29,,421,,,,,,
48,06/19/22 03:55:00,347,21,447,53,386,21,29,,413,,,,,,
