sensor	day	value
TNHA-SC	6/19/22	"0,00868055555555556"
TNHA-SC	6/20/22	"2,40798611111111116"
TNHA-SC	6/21/22	"4,02256944444444464"
TNHA-SC	6/22/22	"3,67013888888888884"
TNHA-SC	6/23/22	"3,86631944444444464"
TNHA-SC	6/24/22	"4,19097222222222232"
TNHA-SC	6/25/22	"4,35243055555555536"
TNHA-SC	6/26/22	"6,77430555555555536"
TNHA-SC	6/27/22	"7,39062500000000000"
TNHA-SC	6/28/22	"6,09375000000000000"
TNHA-SC	6/29/22	"6,11805555555555536"
TNHA-SC	6/30/22	"6,28153153153153188"
TNHA-SC	7/1/22	"4,25000000000000000"
TNHA-SC	7/2/22	"4,58333333333333304"
TNHA-SC	7/3/22	"4,56250000000000000"
TNHA-SC	7/4/22	"3,89583333333333348"
TNHA-SC	7/5/22	"3,78125000000000000"
TNHA-SC	7/6/22	"5,12500000000000000"
TNHA-SC	7/7/22	"5,91666666666666696"
TNHA-SC	7/8/22	"4,14583333333333304"
TNHA-SC	7/9/22	"4,68750000000000000"
TNHA-SC	7/10/22	"6,94791666666666696"
TNHA-SC	7/11/22	"6,36458333333333304"
TNHA-SC	7/12/22	"3,02083333333333348"
TNHA-SC	7/13/22	"2,85416666666666652"
TNHA-SC	7/14/22	"2,34375000000000000"
TNHA-SC	7/15/22	"1,59375000000000000"
TNHA-SC	7/16/22	"2,25000000000000000"
TNHA-SC	7/17/22	"2,86458333333333348"
TNHA-SC	7/18/22	"3,11458333333333348"
TNHA-SC	7/19/22	"3,23958333333333348"
TNHA-SC	7/20/22	"3,55208333333333348"
TNHA-SC	7/21/22	"4,40625000000000000"
TNHA-SC	7/22/22	"3,13541666666666652"
TNHA-SC	7/23/22	"2,70833333333333348"
TNHA-SC	7/24/22	"2,57291666666666652"
TNHA-SC	7/25/22	"3,33333333333333348"
TNHA-SC	7/26/22	"1,63541666666666674"
TNHA-SC	7/27/22	"0,80208333333333337"
TNHA-SC	7/28/22	"0,51041666666666663"
TNHA-SC	7/29/22	"1,25000000000000000"
TNHA-SC	7/30/22	"2,59375000000000000"
TNHA-SC	7/31/22	"2,18750000000000000"
TNHA-SC	8/1/22	"1,88541666666666674"
TNHA-SC	8/2/22	"2,78125000000000000"
TNHA-SC	8/3/22	"4,82291666666666696"
TNHA-SC	8/4/22	"6,12500000000000000"
TNHA-SC	8/5/22	"6,13541666666666696"
TNHA-SC	8/6/22	"3,32291666666666652"
TNHA-SC	8/7/22	"3,30208333333333348"
TNHA-SC	8/8/22	"3,96875000000000000"
TNHA-SC	8/9/22	"3,32291666666666652"
TNHA-SC	8/10/22	"3,41666666666666652"
TNHA-SC	8/11/22	"4,25000000000000000"
TNHA-SC	8/12/22	"5,57291666666666696"
TNHA-SC	8/13/22	"3,14583333333333348"
TNHA-SC	8/14/22	"1,98958333333333326"
TNHA-SC	8/15/22	"1,59375000000000000"
TNHA-SC	8/16/22	"1,03125000000000000"
TNHA-SC	8/17/22	"1,55208333333333326"
TNHA-SC	8/18/22	"1,77083333333333326"
TNHA-SC	8/19/22	"1,42708333333333326"
TNHA-SC	8/20/22	"1,07291666666666674"
TNHA-SC	8/21/22	"0,40625000000000000"
TNHA-SC	8/22/22	"0,52083333333333337"
TNHA-SC	8/23/22	"1,30208333333333326"
TNHA-SC	8/24/22	"2,71875000000000000"
TNHA-SC	8/25/22	"3,23958333333333348"
TNHA-SC	8/26/22	"4,29166666666666696"
TNHA-SC	8/27/22	"3,06250000000000000"
TNHA-SC	8/28/22	"2,84375000000000000"
TNHA-SC	8/29/22	"2,98958333333333348"
TNHA-SC	8/30/22	"3,26041666666666652"
TNHA-SC	8/31/22	"2,93750000000000000"
TNHA-SC	9/1/22	"3,50000000000000000"
TNHA-SA	6/19/22	"5,00000000000000000"
TNHA-SA	6/20/22	"7,27604166666666696"
TNHA-SA	6/21/22	"8,74652777777777857"
TNHA-SA	6/22/22	"5,89583333333333304"
TNHA-SA	6/23/22	"5,11979166666666696"
TNHA-SA	6/24/22	"5,20138888888888928"
TNHA-SA	6/25/22	"5,28645833333333304"
TNHA-SA	6/26/22	"7,62847222222222232"
TNHA-SA	6/27/22	"10,65798611111111072"
TNHA-SA	6/28/22	"8,57986111111111072"
TNHA-SA	6/29/22	"7,63368055555555536"
TNHA-SA	6/30/22	"6,74663677130044803"
TNHA-SA	7/1/22	"9,75000000000000000"
