Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
1,12/01/22 00:00:00,,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1
2,12/01/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
3,12/01/22 00:30:00,,,,,1,1,1,1,1,,,,1,1,1,1,1,1,1
4,12/01/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
5,12/01/22 01:00:00,,,,,1,1,1,1,1,,,,1,1,,,1,1,1
6,12/01/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
7,12/01/22 01:30:00,,,,,1,1,1,1,1,,,,1,1,,,1,1,1
8,12/01/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
9,12/01/22 02:00:00,,,,,1,1,1,1,1,,,,1,1,,,1,1,1
10,12/01/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
11,12/01/22 02:30:00,,,,,1,1,1,1,1,,,,1,1,,,1,1,1
12,12/01/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
13,12/01/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
14,12/01/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
15,12/01/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
16,12/01/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
17,12/01/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
18,12/01/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
19,12/01/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
20,12/01/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
21,12/01/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
