Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
1,12/01/23 00:00:00,1,1,1,1,,,,1,
2,12/01/23 00:05:00,,,,,,,,1,
3,12/01/23 00:10:00,,,,,,,,1,1
4,12/01/23 00:15:00,,,,,,,,1,
5,12/01/23 00:20:00,,,,,,,,1,
6,12/01/23 00:25:00,,,,,,,,1,
7,12/01/23 00:30:00,,,,,,,,1,
8,12/01/23 00:35:00,,,,,,,,1,
9,12/01/23 00:40:00,,,,,,,,1,
10,12/01/23 00:45:00,,,,,,,,1,
11,12/01/23 00:50:00,,,,,,,,1,
12,12/01/23 00:55:00,,,,,,,,1,
13,12/01/23 01:00:00,1,1,1,1,,,,1,
14,12/01/23 01:05:00,,,,,,,,1,
15,12/01/23 01:10:00,,,,,,,,1,1
16,12/01/23 01:15:00,,,,,,,,1,
17,12/01/23 01:20:00,,,,,,,,1,
18,12/01/23 01:25:00,,,,,,,,1,
19,12/01/23 01:30:00,,,,,,,,1,
20,12/01/23 01:35:00,,,,,,,,1,
21,12/01/23 01:40:00,,,,,,,,1,
22,12/01/23 01:45:00,,,,,,,,1,
23,12/01/23 01:50:00,,,,,,,,1,
24,12/01/23 01:55:00,,,,,,,,1,
25,12/01/23 02:00:00,1,1,1,1,,,,1,
26,12/01/23 02:05:00,,,,,,,,1,
27,12/01/23 02:10:00,,,,,,,,1,1
28,12/01/23 02:15:00,,,,,,,,1,
29,12/01/23 02:20:00,,,,,,,,1,
30,12/01/23 02:25:00,,,,,,,,1,
31,12/01/23 02:30:00,,,,,,,,1,
32,12/01/23 02:35:00,,,,,,,,1,
33,12/01/23 02:40:00,,,,,,,,1,
34,12/01/23 02:45:00,,,,,,,,1,
35,12/01/23 02:50:00,,,,,,,,1,
36,12/01/23 02:55:00,,,,,,,,1,
37,12/01/23 03:00:00,1,1,1,1,,,,1,
38,12/01/23 03:05:00,,,,,,,,1,
39,12/01/23 03:10:00,,,,,,,,1,1
40,12/01/23 03:15:00,,,,,,,,1,
41,12/01/23 03:20:00,,,,,,,,1,
42,12/01/23 03:25:00,,,,,,,,1,
43,12/01/23 03:30:00,,,,,,,,1,
44,12/01/23 03:35:00,,,,,,,,1,
45,12/01/23 03:40:00,,,,,,,,1,
46,12/01/23 03:45:00,,,,,,,,1,
47,12/01/23 03:50:00,,,,,,,,1,
48,12/01/23 03:55:00,,,,,,,,1,
49,12/01/23 04:00:00,1,1,1,1,,,,1,
50,12/01/23 04:05:00,,,,,,,,1,
51,12/01/23 04:10:00,,,,,,,,1,1
52,12/01/23 04:15:00,,,,,,,,1,
53,12/01/23 04:20:00,,,,,,,,1,
54,12/01/23 04:25:00,,,,,,,,1,
55,12/01/23 04:30:00,,,,,,,,1,
56,12/01/23 04:35:00,,,,,,,,1,
57,12/01/23 04:40:00,,,,,,,,1,
58,12/01/23 04:45:00,,,,,,,,1,
59,12/01/23 04:50:00,,,,,,,,1,
60,12/01/23 04:55:00,,,,,,,,1,
61,12/01/23 05:00:00,1,1,1,1,,,,1,
62,12/01/23 05:05:00,,,,,,,,1,
63,12/01/23 05:10:00,,,,,,,,1,1
64,12/01/23 05:15:00,,,,,,,,1,
65,12/01/23 05:20:00,,,,,,,,1,
66,12/01/23 05:25:00,,,,,,,,1,
67,12/01/23 05:30:00,,,,,,,,1,
68,12/01/23 05:35:00,,,,,,,,1,
69,12/01/23 05:40:00,,,,,,,,1,
70,12/01/23 05:45:00,,,,,,,,1,
71,12/01/23 05:50:00,,,,,,,,1,
72,12/01/23 05:55:00,,,,,,,,1,
73,12/01/23 06:00:00,1,1,1,1,,,,1,
74,12/01/23 06:05:00,,,,,,,,1,
75,12/01/23 06:10:00,,,,,,,,1,1
76,12/01/23 06:15:00,,,,,,,,1,
77,12/01/23 06:20:00,,,,,,,,1,
78,12/01/23 06:25:00,,,,,,,,1,
79,12/01/23 06:30:00,,,,,,,,1,
80,12/01/23 06:35:00,,,,,,,,1,
81,12/01/23 06:40:00,,,,,,,,1,
82,12/01/23 06:45:00,,,,,,,,1,
83,12/01/23 06:50:00,,,,,,,,1,
84,12/01/23 06:55:00,,,,,,,,1,
85,12/01/23 07:00:00,1,1,1,1,,,,1,
86,12/01/23 07:05:00,,,,,,,,1,
87,12/01/23 07:10:00,,,,,,,,1,1
88,12/01/23 07:15:00,,,,,,,,1,
89,12/01/23 07:20:00,,,,,,,,1,
90,12/01/23 07:25:00,,,,,,,,1,
91,12/01/23 07:30:00,,,,,,,,1,
92,12/01/23 07:35:00,,,,,,,,1,
93,12/01/23 07:40:00,,,,,,,,1,
94,12/01/23 07:45:00,,,,,,,,1,
95,12/01/23 07:50:00,,,,,,,,1,
96,12/01/23 07:55:00,,,,,,,,1,
97,12/01/23 08:00:00,1,1,1,1,,,,1,
98,12/01/23 08:05:00,,,,,,,,1,
99,12/01/23 08:10:00,,,,,,,,1,1
100,12/01/23 08:15:00,,,,,,,,1,
101,12/01/23 08:20:00,,,,,,,,1,
102,12/01/23 08:25:00,,,,,,,,1,
103,12/01/23 08:30:00,,,,,,,,1,
104,12/01/23 08:35:00,,,,,,,,1,
105,12/01/23 08:40:00,,,,,,,,1,
106,12/01/23 08:45:00,,,,,,,,1,
107,12/01/23 08:50:00,,,,,,,,1,
108,12/01/23 08:55:00,,,,,,,,1,
109,12/01/23 09:00:00,1,1,1,1,,,,1,
110,12/01/23 09:05:00,,,,,,,,1,
111,12/01/23 09:10:00,,,,,,,,1,1
112,12/01/23 09:15:00,,,,,,,,1,
113,12/01/23 09:20:00,,,,,,,,1,
114,12/01/23 09:25:00,,,,,,,,1,
115,12/01/23 09:30:00,,,,,,,,1,
116,12/01/23 09:35:00,,,,,,,,1,
117,12/01/23 09:40:00,,,,,,,,1,
118,12/01/23 09:45:00,,,,,,,,1,
119,12/01/23 09:50:00,,,,,,,,1,
120,12/01/23 09:55:00,,,,,,,,1,
121,12/01/23 10:00:00,1,1,1,1,,,,1,
122,12/01/23 10:05:00,,,,,,,,1,
123,12/01/23 10:10:00,,,,,,,,1,1
124,12/01/23 10:15:00,,,,,,,,1,
125,12/01/23 10:20:00,,,,,,,,1,
126,12/01/23 10:25:00,,,,,,,,1,
127,12/01/23 10:30:00,,,,,,,,1,
128,12/01/23 10:35:00,,,,,,,,1,
129,12/01/23 10:40:00,,,,,,,,1,
130,12/01/23 10:45:00,,,,,,,,1,
131,12/01/23 10:50:00,,,,,,,,1,
132,12/01/23 10:55:00,,,,,,,,1,
133,12/01/23 11:00:00,1,1,1,1,,,,1,
134,12/01/23 11:05:00,,,,,,,,1,
135,12/01/23 11:10:00,,,,,,,,1,1
136,12/01/23 11:15:00,,,,,,,,1,
137,12/01/23 11:20:00,,,,,,,,1,
138,12/01/23 11:25:00,,,,,,,,1,
139,12/01/23 11:30:00,,,,,,,,1,
140,12/01/23 11:35:00,,,,,,,,1,
141,12/01/23 11:40:00,,,,,,,,1,
142,12/01/23 11:45:00,,,,,,,,1,
143,12/01/23 11:50:00,,,,,,,,1,
144,12/01/23 11:55:00,,,,,,,,1,
145,12/01/23 12:00:00,1,1,1,1,,,,1,
146,12/01/23 12:05:00,,,,,,,,1,
