Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
1,12/01/23 00:00:00,212,136,107,327,,,,260,
2,12/01/23 00:05:00,,,,,,,,258,
3,12/01/23 00:10:00,,,,,,,,260,168
4,12/01/23 00:15:00,,,,,,,,258,
5,12/01/23 00:20:00,,,,,,,,258,
6,12/01/23 00:25:00,,,,,,,,258,
7,12/01/23 00:30:00,,,,,,,,258,
8,12/01/23 00:35:00,,,,,,,,258,
9,12/01/23 00:40:00,,,,,,,,258,
10,12/01/23 00:45:00,,,,,,,,258,
11,12/01/23 00:50:00,,,,,,,,258,
12,12/01/23 00:55:00,,,,,,,,258,
13,12/01/23 01:00:00,213,125,107,310,,,,258,
14,12/01/23 01:05:00,,,,,,,,258,
15,12/01/23 01:10:00,,,,,,,,258,167
16,12/01/23 01:15:00,,,,,,,,258,
17,12/01/23 01:20:00,,,,,,,,258,
18,12/01/23 01:25:00,,,,,,,,257,
19,12/01/23 01:30:00,,,,,,,,256,
20,12/01/23 01:35:00,,,,,,,,256,
21,12/01/23 01:40:00,,,,,,,,230,
22,12/01/23 01:45:00,,,,,,,,194,
23,12/01/23 01:50:00,,,,,,,,187,
24,12/01/23 01:55:00,,,,,,,,187,
25,12/01/23 02:00:00,213,122,107,344,,,,184,
26,12/01/23 02:05:00,,,,,,,,175,
27,12/01/23 02:10:00,,,,,,,,195,167
28,12/01/23 02:15:00,,,,,,,,191,
29,12/01/23 02:20:00,,,,,,,,98,
30,12/01/23 02:25:00,,,,,,,,91,
31,12/01/23 02:30:00,,,,,,,,94,
32,12/01/23 02:35:00,,,,,,,,171,
33,12/01/23 02:40:00,,,,,,,,153,
34,12/01/23 02:45:00,,,,,,,,136,
35,12/01/23 02:50:00,,,,,,,,88,
36,12/01/23 02:55:00,,,,,,,,94,
37,12/01/23 03:00:00,340,126,112,119,,,,94,
38,12/01/23 03:05:00,,,,,,,,94,
39,12/01/23 03:10:00,,,,,,,,90,126
40,12/01/23 03:15:00,,,,,,,,83,
41,12/01/23 03:20:00,,,,,,,,81,
42,12/01/23 03:25:00,,,,,,,,90,
43,12/01/23 03:30:00,,,,,,,,76,
44,12/01/23 03:35:00,,,,,,,,102,
45,12/01/23 03:40:00,,,,,,,,104,
46,12/01/23 03:45:00,,,,,,,,114,
47,12/01/23 03:50:00,,,,,,,,108,
48,12/01/23 03:55:00,,,,,,,,73,
49,12/01/23 04:00:00,343,122,114,117,,,,63,
50,12/01/23 04:05:00,,,,,,,,72,
51,12/01/23 04:10:00,,,,,,,,79,97
52,12/01/23 04:15:00,,,,,,,,79,
53,12/01/23 04:20:00,,,,,,,,93,
54,12/01/23 04:25:00,,,,,,,,76,
55,12/01/23 04:30:00,,,,,,,,87,
56,12/01/23 04:35:00,,,,,,,,79,
57,12/01/23 04:40:00,,,,,,,,72,
