Time,node-03 / PM10_0,node-03 / PM2_5,node-03 / Temperature,node-04 / PM10_0,node-04 / PM2_5,node-04 / Temperature,node-05 / PM10_0,node-05 / PM2_5,node-05 / Temperature,node-06 / PM10_0,node-06 / PM2_5,node-06 / Temperature,node-07 / PM10_0,node-07 / PM2_5,node-07 / Temperature,node-08 / PM10_0,node-08 / PM2_5,node-08 / Temperature,node-09 / PM10_0,node-09 / PM2_5,node-09 / Temperature,node-10 / PM10_0,node-10 / PM2_5,node-10 / Temperature,node-11 / PM10_0,node-11 / PM2_5,node-11 / Temperature,node-12 / PM10_0,node-12 / PM2_5,node-12 / Temperature,node-13 / PM10_0,node-13 / PM2_5,node-13 / Temperature,node-14 / PM10_0,node-14 / PM2_5,node-14 / Temperature,node-15 / PM10_0,node-15 / PM2_5,node-15 / Temperature,node-16 / PM10_0,node-16 / PM2_5,node-16 / Temperature,node-17 / PM10_0,node-17 / PM2_5,node-17 / Temperature,node-18 / PM10_0,node-18 / PM2_5,node-18 / Temperature,node-19 / PM10_0,node-19 / PM2_5,node-19 / Temperature
07-01-2025 00:00,5.0,4.0,10.926737,3.0,3.0,5.516835,3.0,3.0,11.896918,,,,1.0,0.0,9.0,1.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,12.0,1.0,0.0,11.0,,,,,,,2.0,1.0,11.0,1.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,10.0
07-01-2025 01:00,3.0,3.0,10.412151,12.0,10.0,4.525127,5.0,4.0,9.931561,999.0,999.0,3.444375,1.0,0.0,9.0,2.0,1.0,8.0,1.0,0.0,8.0,0.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,8.0,,,,3.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,8.0,1.0,1.0,8.0
07-01-2025 02:00,5.0,4.0,7.697416,3.0,3.0,4.056144,3.0,3.0,8.756753,999.0,999.0,-2.91357,1.0,0.0,7.0,1.0,1.0,9.0,0.0,0.0,7.0,1.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,7.0,1.5,0.722222,14.0,1.0,1.0,9.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,9.0,3.0,1.0,9.0,1.0,0.0,9.0
07-01-2025 03:00,3.0,3.0,6.72862,9.0,7.0,4.194558,5.0,4.0,8.293765,,,,1.0,0.0,7.0,2.0,0.0,9.0,1.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,7.0,1.0,0.0,10.0,2.0,2.0,10.0,1.0,0.0,8.0,1.0,0.0,9.0,2.0,0.0,10.0,7.0,6.0,10.0,1.0,0.0,9.0
07-01-2025 04:00,9.0,7.0,6.405688,3.0,3.0,3.394567,3.0,3.0,8.293765,999.0,999.0,-2.91357,,,,,,,1.0,0.0,7.0,1.0,0.0,8.0,3.0,3.0,9.0,1.0,0.0,7.0,,,,1.0,1.0,9.0,4.0,3.0,7.0,2.0,0.0,9.0,,,,1.0,0.0,9.0,1.0,1.0,8.0
07-01-2025 05:00,3.0,3.0,8.34328,20.0,16.0,4.056144,5.0,4.0,7.638646,,,,1.0,0.0,7.0,,,,1.0,0.0,8.0,1.0,0.0,9.0,1.0,0.0,7.0,1.0,0.0,6.0,,,,3.0,1.0,10.0,1.0,0.0,7.0,1.0,0.0,9.0,,,,1.0,1.0,10.0,1.0,0.0,8.0
07-01-2025 06:00,6.0,5.0,8.020348,3.0,3.0,4.717722,3.0,3.0,7.966205,,,,1.0,0.0,7.0,,,,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,7.0,,,,4.0,3.0,9.0,1.0,0.0,7.0,1.0,0.0,8.0,,,,2.0,1.0,10.0,1.0,0.0,8.0
07-01-2025 07:00,3.0,3.0,11.057587,11.0,9.0,6.371665,3.0,3.0,8.293765,,,,1.0,0.0,9.0,,,,2.0,1.0,10.0,1.0,0.0,10.0,1.0,0.0,8.0,0.0,0.0,8.0,,,,2.0,2.0,11.0,1.0,0.0,8.0,1.0,1.0,11.0,,,,2.0,1.0,12.0,2.0,1.0,11.0
07-01-2025 08:00,6.0,5.0,12.864329,3.0,3.0,9.153097,3.0,3.0,12.419048,,,,12.0,6.0,11.0,,,,1.0,0.0,12.0,4.0,0.0,12.0,1.0,0.0,13.0,1.0,0.0,12.0,,,,2.0,2.0,13.0,1.0,0.0,11.0,1.0,1.0,14.0,,,,3.0,2.0,15.0,2.0,0.0,13.0
07-01-2025 09:00,3.0,3.0,14.607475,20.0,16.0,11.333495,3.0,3.0,17.007936,999.0,999.0,2.596649,2.0,1.0,13.0,,,,9.0,3.0,15.0,2.0,1.0,14.0,1.0,1.0,16.0,9.0,3.0,15.0,1.333333,0.166667,9.333333,4.0,4.0,15.0,1.0,1.0,15.0,2.0,1.0,18.0,,,,7.0,3.0,17.0,1.0,0.0,15.0
07-01-2025 10:00,5.0,4.0,15.252909,3.0,3.0,13.119929,5.0,4.0,19.430784,999.0,999.0,10.861978,5.0,5.0,19.0,4.571429,2.142857,13.571429,4.0,2.0,18.0,1.0,0.0,15.0,1.0,0.0,20.0,1.0,0.0,17.0,1.0,0.0,11.0,9.0,8.0,17.0,2.0,1.0,16.0,2.0,1.0,19.0,1.428571,0.714286,13.0,9.0,2.0,19.0,6.0,2.0,15.0
07-01-2025 11:00,3.0,3.0,15.575627,14.0,11.0,11.664283,3.0,3.0,20.74102,999.0,999.0,9.76412,1.0,1.0,17.0,2.0,2.0,17.0,2.0,2.0,17.0,3.0,1.0,16.0,3.0,3.0,22.0,1.0,0.0,19.0,1.0,0.0,11.0,8.0,7.0,14.0,3.0,3.0,17.0,2.0,2.0,19.0,4.0,4.0,15.0,1.0,1.0,19.0,3.0,2.0,14.0
07-01-2025 12:00,9.0,7.0,15.252909,3.0,3.0,11.136513,15.0,12.0,21.523065,999.0,999.0,12.239533,1.0,0.0,16.0,8.0,5.0,16.0,3.0,1.0,17.0,2.0,2.0,17.0,4.0,0.0,22.0,7.0,3.0,18.0,4.0,4.0,10.0,5.0,5.0,13.0,20.0,11.0,17.0,3.0,1.0,17.0,5.0,2.0,15.0,6.0,3.0,19.0,2.0,0.0,15.0
