time,Pm2.5,Pm10 0
2024-06-30T03:52:12.000Z,,
2024-06-30T04:03:51.000Z,,
2024-06-30T04:15:30.000Z,,
2024-06-30T04:27:09.000Z,,
2024-06-30T04:38:48.000Z,,
2024-06-30T04:50:27.000Z,,
2024-06-30T05:02:06.000Z,,
2024-06-30T05:13:45.000Z,,
2024-06-30T05:25:24.000Z,,
2024-06-30T05:37:03.000Z,,
2024-06-30T05:48:42.000Z,,
2024-06-30T06:00:21.000Z,,
2024-06-30T06:12:00.000Z,,
2024-06-30T06:23:39.000Z,,
2024-06-30T06:35:18.000Z,,
2024-06-30T06:46:57.000Z,,
2024-06-30T06:58:36.000Z,,
2024-06-30T07:10:15.000Z,,
2024-06-30T07:21:54.000Z,,
2024-06-30T07:33:33.000Z,,
2024-06-30T07:45:12.000Z,,
2024-06-30T07:56:51.000Z,,
2024-06-30T08:08:30.000Z,,
2024-06-30T08:20:09.000Z,,
2024-06-30T08:31:48.000Z,,
2024-06-30T08:43:27.000Z,,
2024-06-30T08:55:06.000Z,,
2024-06-30T09:06:45.000Z,,
2024-06-30T09:18:24.000Z,,
2024-06-30T09:30:03.000Z,,
2024-06-30T09:41:42.000Z,,
2024-06-30T09:53:21.000Z,,
2024-06-30T10:05:00.000Z,,
2024-06-30T10:16:39.000Z,,
2024-06-30T10:28:18.000Z,,
2024-06-30T10:39:57.000Z,,
2024-06-30T10:51:36.000Z,,
2024-06-30T11:03:15.000Z,,
2024-06-30T11:14:54.000Z,,
2024-06-30T11:26:33.000Z,,
2024-06-30T11:38:12.000Z,,
2024-06-30T11:49:51.000Z,,
2024-06-30T12:01:30.000Z,,
2024-06-30T12:13:09.000Z,,
2024-06-30T12:24:48.000Z,,
2024-06-30T12:36:27.000Z,,
2024-06-30T12:48:06.000Z,,
2024-06-30T12:59:45.000Z,,
2024-06-30T13:11:24.000Z,,
2024-06-30T13:23:03.000Z,,
2024-06-30T13:34:42.000Z,,
2024-06-30T13:46:21.000Z,,
2024-06-30T13:58:00.000Z,,
2024-06-30T14:09:39.000Z,,
2024-06-30T14:21:18.000Z,,
2024-06-30T14:32:57.000Z,,
2024-06-30T14:44:36.000Z,,
2024-06-30T14:56:15.000Z,,
2024-06-30T15:07:54.000Z,,
2024-06-30T15:19:33.000Z,,
2024-06-30T15:31:12.000Z,,
2024-06-30T15:42:51.000Z,,
2024-06-30T15:54:30.000Z,,
2024-06-30T16:06:09.000Z,,
2024-06-30T16:17:48.000Z,,
2024-06-30T16:29:27.000Z,,
2024-06-30T16:41:06.000Z,,
2024-06-30T16:52:45.000Z,,
2024-06-30T17:04:24.000Z,,
2024-06-30T17:16:03.000Z,,
2024-06-30T17:27:42.000Z,,
2024-06-30T17:39:21.000Z,,
2024-06-30T17:51:00.000Z,,
2024-06-30T18:02:39.000Z,,
2024-06-30T18:14:18.000Z,,
2024-06-30T18:25:57.000Z,,
2024-06-30T18:37:36.000Z,,
2024-06-30T18:49:15.000Z,,
2024-06-30T19:00:54.000Z,,
2024-06-30T19:12:33.000Z,,
2024-06-30T19:24:12.000Z,,
2024-06-30T19:35:51.000Z,,
2024-06-30T19:47:30.000Z,,
2024-06-30T19:59:09.000Z,,
2024-06-30T20:10:48.000Z,,
2024-06-30T20:22:27.000Z,,
2024-06-30T20:34:06.000Z,,
2024-06-30T20:45:45.000Z,,
2024-06-30T20:57:24.000Z,,
2024-06-30T21:09:03.000Z,,
2024-06-30T21:20:42.000Z,,
2024-06-30T21:32:21.000Z,,
2024-06-30T21:44:00.000Z,,
2024-06-30T21:55:39.000Z,,
2024-06-30T22:07:18.000Z,,
2024-06-30T22:18:57.000Z,,
2024-06-30T22:30:36.000Z,,
2024-06-30T22:42:15.000Z,,
2024-06-30T22:53:54.000Z,,
2024-06-30T23:05:33.000Z,,
2024-06-30T23:17:12.000Z,,
2024-06-30T23:28:51.000Z,,
2024-06-30T23:40:30.000Z,,
2024-06-30T23:52:09.000Z,33,43
2024-07-01T00:03:48.000Z,,
2024-07-01T00:15:27.000Z,,
2024-07-01T00:27:06.000Z,,
2024-07-01T00:38:45.000Z,,
2024-07-01T00:50:24.000Z,4,4
2024-07-01T01:02:03.000Z,,
2024-07-01T01:13:42.000Z,,
2024-07-01T01:25:21.000Z,,
2024-07-01T01:37:00.000Z,,
2024-07-01T01:48:39.000Z,,
2024-07-01T02:00:18.000Z,5,6
2024-07-01T02:11:57.000Z,,
2024-07-01T02:23:36.000Z,,
2024-07-01T02:35:15.000Z,,
2024-07-01T02:46:54.000Z,,
2024-07-01T02:58:33.000Z,4,4
2024-07-01T03:10:12.000Z,,
2024-07-01T03:21:51.000Z,,
2024-07-01T03:33:30.000Z,,
2024-07-01T03:45:09.000Z,,
2024-07-01T03:56:48.000Z,4,5
2024-07-01T04:08:27.000Z,,
2024-07-01T04:20:06.000Z,,
2024-07-01T04:31:45.000Z,,
2024-07-01T04:43:24.000Z,,
2024-07-01T04:55:03.000Z,4,4
2024-07-01T05:06:42.000Z,,
2024-07-01T05:18:21.000Z,,
2024-07-01T05:30:00.000Z,,
2024-07-01T05:41:39.000Z,,
2024-07-01T05:53:18.000Z,,
2024-07-01T06:04:57.000Z,5,6
2024-07-01T06:16:36.000Z,,
2024-07-01T06:28:15.000Z,,
2024-07-01T06:39:54.000Z,,
2024-07-01T06:51:33.000Z,,
2024-07-01T07:03:12.000Z,4,4
2024-07-01T07:14:51.000Z,,
2024-07-01T07:26:30.000Z,,
2024-07-01T07:38:09.000Z,,
2024-07-01T07:49:48.000Z,,
2024-07-01T08:01:27.000Z,4,5
2024-07-01T08:13:06.000Z,,
2024-07-01T08:24:45.000Z,,
2024-07-01T08:36:24.000Z,,
2024-07-01T08:48:03.000Z,,
2024-07-01T08:59:42.000Z,4,4
2024-07-01T09:11:21.000Z,,
2024-07-01T09:23:00.000Z,,
2024-07-01T09:34:39.000Z,,
2024-07-01T09:46:18.000Z,,
2024-07-01T09:57:57.000Z,,
2024-07-01T10:09:36.000Z,4,5
2024-07-01T10:21:15.000Z,,
2024-07-01T10:32:54.000Z,,
2024-07-01T10:44:33.000Z,,
2024-07-01T10:56:12.000Z,,
2024-07-01T11:07:51.000Z,4,4
2024-07-01T11:19:30.000Z,,
2024-07-01T11:31:09.000Z,,
2024-07-01T11:42:48.000Z,,
2024-07-01T11:54:27.000Z,,
2024-07-01T12:06:06.000Z,7,8
2024-07-01T12:17:45.000Z,,
2024-07-01T12:29:24.000Z,,
2024-07-01T12:41:03.000Z,,
2024-07-01T12:52:42.000Z,,
2024-07-01T13:04:21.000Z,4,4
2024-07-01T13:16:00.000Z,,
2024-07-01T13:27:39.000Z,,
2024-07-01T13:39:18.000Z,,
2024-07-01T13:50:57.000Z,,
2024-07-01T14:02:36.000Z,,
2024-07-01T14:14:15.000Z,5,6
2024-07-01T14:25:54.000Z,,
2024-07-01T14:37:33.000Z,,
2024-07-01T14:49:12.000Z,,
2024-07-01T15:00:51.000Z,,
2024-07-01T15:12:30.000Z,4,4
2024-07-01T15:24:09.000Z,,
2024-07-01T15:35:48.000Z,,
2024-07-01T15:47:27.000Z,,
2024-07-01T15:59:06.000Z,,
2024-07-01T16:10:45.000Z,,
2024-07-01T16:22:24.000Z,8,10
