time,PM2_5,PM10_0
2024-06-30T03:58:20.000Z,,
2024-06-30T04:10:00.000Z,,
2024-06-30T04:21:40.000Z,,
2024-06-30T04:33:20.000Z,,
2024-06-30T04:45:00.000Z,9.000000,11.000000
2024-06-30T04:56:40.000Z,,
2024-06-30T05:08:20.000Z,,
2024-06-30T05:20:00.000Z,,
2024-06-30T05:31:40.000Z,,
2024-06-30T05:43:20.000Z,3.000000,3.000000
2024-06-30T05:55:00.000Z,,
2024-06-30T06:06:40.000Z,,
2024-06-30T06:18:20.000Z,,
2024-06-30T06:30:00.000Z,,
2024-06-30T06:41:40.000Z,8.000000,9.000000
2024-06-30T06:53:20.000Z,,
2024-06-30T07:05:00.000Z,,
2024-06-30T07:16:40.000Z,,
2024-06-30T07:28:20.000Z,,
2024-06-30T07:40:00.000Z,,
2024-06-30T07:51:40.000Z,3.000000,3.000000
2024-06-30T08:03:20.000Z,,
2024-06-30T08:15:00.000Z,,
2024-06-30T08:26:40.000Z,,
2024-06-30T08:38:20.000Z,,
2024-06-30T08:50:00.000Z,10.000000,12.000000
2024-06-30T09:01:40.000Z,,
2024-06-30T09:13:20.000Z,,
2024-06-30T09:25:00.000Z,,
2024-06-30T09:36:40.000Z,,
2024-06-30T09:48:20.000Z,3.000000,3.000000
2024-06-30T10:00:00.000Z,,
2024-06-30T10:11:40.000Z,,
2024-06-30T10:23:20.000Z,,
2024-06-30T10:35:00.000Z,,
2024-06-30T10:46:40.000Z,16.000000,21.000000
2024-06-30T10:58:20.000Z,,
2024-06-30T11:10:00.000Z,,
2024-06-30T11:21:40.000Z,,
2024-06-30T11:33:20.000Z,,
2024-06-30T11:45:00.000Z,,
2024-06-30T11:56:40.000Z,3.000000,3.000000
2024-06-30T12:08:20.000Z,,
2024-06-30T12:20:00.000Z,,
2024-06-30T12:31:40.000Z,,
2024-06-30T12:43:20.000Z,,
2024-06-30T12:55:00.000Z,4.000000,5.000000
2024-06-30T13:06:40.000Z,,
2024-06-30T13:18:20.000Z,,
2024-06-30T13:30:00.000Z,,
2024-06-30T13:41:40.000Z,,
2024-06-30T13:53:20.000Z,3.000000,3.000000
2024-06-30T14:05:00.000Z,,
2024-06-30T14:16:40.000Z,,
2024-06-30T14:28:20.000Z,,
2024-06-30T14:40:00.000Z,,
2024-06-30T14:51:40.000Z,3.000000,3.000000
2024-06-30T15:03:20.000Z,,
2024-06-30T15:15:00.000Z,,
2024-06-30T15:26:40.000Z,,
2024-06-30T15:38:20.000Z,,
2024-06-30T15:50:00.000Z,,
2024-06-30T16:01:40.000Z,3.000000,3.000000
2024-06-30T16:13:20.000Z,,
2024-06-30T16:25:00.000Z,,
2024-06-30T16:36:40.000Z,,
2024-06-30T16:48:20.000Z,,
2024-06-30T17:00:00.000Z,5.000000,6.000000
2024-06-30T17:11:40.000Z,,
2024-06-30T17:23:20.000Z,,
2024-06-30T17:35:00.000Z,,
2024-06-30T17:46:40.000Z,,
2024-06-30T17:58:20.000Z,3.000000,3.000000
2024-06-30T18:10:00.000Z,,
2024-06-30T18:21:40.000Z,,
2024-06-30T18:33:20.000Z,,
2024-06-30T18:45:00.000Z,,
2024-06-30T18:56:40.000Z,3.000000,3.000000
2024-06-30T19:08:20.000Z,,
2024-06-30T19:20:00.000Z,,
2024-06-30T19:31:40.000Z,,
2024-06-30T19:43:20.000Z,,
2024-06-30T19:55:00.000Z,,
2024-06-30T20:06:40.000Z,3.000000,3.000000
2024-06-30T20:18:20.000Z,,
2024-06-30T20:30:00.000Z,,
2024-06-30T20:41:40.000Z,,
2024-06-30T20:53:20.000Z,,
2024-06-30T21:05:00.000Z,3.000000,3.000000
2024-06-30T21:16:40.000Z,,
2024-06-30T21:28:20.000Z,,
2024-06-30T21:40:00.000Z,,
2024-06-30T21:51:40.000Z,,
2024-06-30T22:03:20.000Z,3.000000,3.000000
2024-06-30T22:15:00.000Z,,
2024-06-30T22:26:40.000Z,,
2024-06-30T22:38:20.000Z,,
2024-06-30T22:50:00.000Z,,
2024-06-30T23:01:40.000Z,3.000000,3.000000
2024-06-30T23:13:20.000Z,,
2024-06-30T23:25:00.000Z,,
2024-06-30T23:36:40.000Z,,
2024-06-30T23:48:20.000Z,,
2024-07-01T00:00:00.000Z,3.000000,3.000000
2024-07-01T00:11:40.000Z,,
2024-07-01T00:23:20.000Z,,
2024-07-01T00:35:00.000Z,,
2024-07-01T00:46:40.000Z,,
2024-07-01T00:58:20.000Z,,
2024-07-01T01:10:00.000Z,7.000000,8.000000
2024-07-01T01:21:40.000Z,,
2024-07-01T01:33:20.000Z,,
2024-07-01T01:45:00.000Z,,
2024-07-01T01:56:40.000Z,,
2024-07-01T02:08:20.000Z,3.000000,3.000000
2024-07-01T02:20:00.000Z,,
2024-07-01T02:31:40.000Z,,
2024-07-01T02:43:20.000Z,,
2024-07-01T02:55:00.000Z,,
2024-07-01T03:06:40.000Z,3.000000,3.000000
2024-07-01T03:18:20.000Z,,
2024-07-01T03:30:00.000Z,,
2024-07-01T03:41:40.000Z,,
2024-07-01T03:53:20.000Z,,
2024-07-01T04:05:00.000Z,3.000000,3.000000
2024-07-01T04:16:40.000Z,,
2024-07-01T04:28:20.000Z,,
2024-07-01T04:40:00.000Z,,
2024-07-01T04:51:40.000Z,,
2024-07-01T05:03:20.000Z,7.000000,9.000000
2024-07-01T05:15:00.000Z,,
2024-07-01T05:26:40.000Z,,
2024-07-01T05:38:20.000Z,,
2024-07-01T05:50:00.000Z,,
2024-07-01T06:01:40.000Z,,
2024-07-01T06:13:20.000Z,3.000000,3.000000
2024-07-01T06:25:00.000Z,,
2024-07-01T06:36:40.000Z,,
2024-07-01T06:48:20.000Z,,
2024-07-01T07:00:00.000Z,,
2024-07-01T07:11:40.000Z,3.000000,3.000000
2024-07-01T07:23:20.000Z,,
2024-07-01T07:35:00.000Z,,
2024-07-01T07:46:40.000Z,,
2024-07-01T07:58:20.000Z,,
2024-07-01T08:10:00.000Z,3.000000,3.000000
2024-07-01T08:21:40.000Z,,
2024-07-01T08:33:20.000Z,,
2024-07-01T08:45:00.000Z,,
2024-07-01T08:56:40.000Z,,
2024-07-01T09:08:20.000Z,7.000000,9.000000
2024-07-01T09:20:00.000Z,,
2024-07-01T09:31:40.000Z,,
2024-07-01T09:43:20.000Z,,
2024-07-01T09:55:00.000Z,,
2024-07-01T10:06:40.000Z,,
2024-07-01T10:18:20.000Z,3.000000,3.000000
2024-07-01T10:30:00.000Z,,
2024-07-01T10:41:40.000Z,,
2024-07-01T10:53:20.000Z,,
2024-07-01T11:05:00.000Z,,
2024-07-01T11:16:40.000Z,9.000000,11.000000
2024-07-01T11:28:20.000Z,,
2024-07-01T11:40:00.000Z,,
2024-07-01T11:51:40.000Z,,
2024-07-01T12:03:20.000Z,,
2024-07-01T12:15:00.000Z,3.000000,3.000000
2024-07-01T12:26:40.000Z,,
2024-07-01T12:38:20.000Z,,
2024-07-01T12:50:00.000Z,,
2024-07-01T13:01:40.000Z,,
2024-07-01T13:13:20.000Z,3.000000,3.000000
2024-07-01T13:25:00.000Z,,
2024-07-01T13:36:40.000Z,,
2024-07-01T13:48:20.000Z,,
2024-07-01T14:00:00.000Z,,
2024-07-01T14:11:40.000Z,,
2024-07-01T14:23:20.000Z,3.000000,3.000000
2024-07-01T14:35:00.000Z,,
2024-07-01T14:46:40.000Z,,
2024-07-01T14:58:20.000Z,,
2024-07-01T15:10:00.000Z,,
2024-07-01T15:21:40.000Z,9.000000,11.000000
2024-07-01T15:33:20.000Z,,
2024-07-01T15:45:00.000Z,,
2024-07-01T15:56:40.000Z,,
2024-07-01T16:08:20.000Z,,
2024-07-01T16:20:00.000Z,3.000000,3.000000
2024-07-01T16:31:40.000Z,,
2024-07-01T16:43:20.000Z,,
2024-07-01T16:55:00.000Z,,
2024-07-01T17:06:40.000Z,,
2024-07-01T17:18:20.000Z,10.000000,13.000000
2024-07-01T17:30:00.000Z,,
2024-07-01T17:41:40.000Z,,
2024-07-01T17:53:20.000Z,,
2024-07-01T18:05:00.000Z,,
2024-07-01T18:16:40.000Z,,
2024-07-01T18:28:20.000Z,3.000000,3.000000
2024-07-01T18:40:00.000Z,,
2024-07-01T18:51:40.000Z,,
2024-07-01T19:03:20.000Z,,
2024-07-01T19:15:00.000Z,,
2024-07-01T19:26:40.000Z,5.000000,6.000000
2024-07-01T19:38:20.000Z,,
2024-07-01T19:50:00.000Z,,
2024-07-01T20:01:40.000Z,,
2024-07-01T20:13:20.000Z,,
2024-07-01T20:25:00.000Z,3.000000,3.000000
2024-07-01T20:36:40.000Z,,
2024-07-01T20:48:20.000Z,,
2024-07-01T21:00:00.000Z,,
2024-07-01T21:11:40.000Z,,
