Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1","Wind Speed (S-WSB 21198259:21176861-1), m/s, RX3000_BRW1","Wind Speed (RXW-WCF 21198259:21181033-1), m/s, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1","Wind Speed (RXW-WCF 21198259:21206909-1), m/s, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1","Wind Speed (RXW-WCF 21198259:21398709-1), m/s, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1","Wind Speed (RXW-WCF 21198259:21398712-1), m/s, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1","Wind Speed (RXW-WCF 21198259:21398715-1), m/s, RX3000_BRW1","Wind Direction (RXW-WCF 21198259:21398715-3), *, RX3000_BRW1","Wind Speed (RXW-WCF 21401801:21206912-1), m/s, RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4","Wind Speed (S-WSB 21401801:21350910-1), m/s, RX3000_BRW4","Wind Speed (RXW-WCF 21401800:21206910-1), m/s, RX3000_BRW5","Wind Direction (RXW-WCF 21401800:21206910-3), *, RX3000_BRW5","Wind Speed (RXW-WCF 21401800:21398719-1), m/s, RX3000_BRW5","Wind Direction (RXW-WCF 21401800:21398719-3), *, RX3000_BRW5","Wind Speed (RXW-WCF 21401800:21398724-1), m/s, RX3000_BRW5","Wind Direction (RXW-WCF 21401800:21398724-3), *, RX3000_BRW5","Wind Speed (RXW-WCF 21401800:21398729-1), m/s, RX3000_BRW5","Wind Direction (RXW-WCF 21401800:21398729-3), *, RX3000_BRW5","Wind Direction (RXW-WCF 21401800:21398733-3), *, RX3000_BRW5","Wind Direction (S-WDA 21401800:21350825-1), *, RX3000_BRW5","Wind Speed (S-WSB 21401800:21350894-1), m/s, RX3000_BRW5","Wind Speed (RXW-WCF 21401800:21398733-1), m/s, RX3000_BRW5","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6","Wind Speed (S-WSB 21401803:21350915-1), m/s, RX3000_BRW6"
1,06/19/22 00:00:00,256,0.0,,,1.0,312,0.0,303,0.0,83,2.0,118,0.7,76,62,0.0,,,,,,,,,,,,,,
2,06/19/22 00:05:00,256,0.0,,,1.0,316,0.0,306,0.0,80,2.0,121,0.3,79,65,0.0,,,,,,,,,,,,,,
3,06/19/22 00:10:00,256,0.0,,,0.7,324,0.0,303,0.0,80,1.7,117,0.7,77,67,0.0,,,,,,,,,,,,,,
4,06/19/22 00:15:00,256,0.0,,,0.7,344,0.0,305,0.0,86,2.0,122,0.7,83,55,0.0,,,,,,,,,,,,,,
5,06/19/22 00:20:00,256,0.0,,,0.3,340,0.0,306,0.0,98,2.0,124,0.3,98,70,0.0,,,,,,,,,,,,,,
6,06/19/22 00:25:00,256,0.0,,,0.7,310,0.0,310,0.0,101,1.7,124,0.3,95,73,0.0,,,,,,,,,,,,,,
7,06/19/22 00:30:00,256,0.0,,,0.0,66,0.0,312,0.0,102,2.0,129,0.3,104,73,0.0,,,,,,,,,,,,,,
8,06/19/22 00:35:00,256,0.0,,,0.0,45,0.0,312,0.0,102,1.7,122,0.3,104,77,0.0,,,,,,,,,,,,,,
9,06/19/22 00:40:00,256,0.0,,,0.0,4,0.0,316,0.0,104,1.7,126,0.3,121,45,0.0,,,,,,,,,,,,,,
10,06/19/22 00:45:00,256,0.0,,,0.0,338,0.0,312,0.0,104,1.3,126,0.3,125,62,0.0,,,,,,,,,,,,,,
11,06/19/22 00:50:00,256,0.0,,,0.0,340,0.0,300,0.0,104,1.3,129,0.3,142,108,0.0,,,,,,,,,,,,,,
12,06/19/22 00:55:00,256,0.0,,,0.0,320,0.0,300,0.0,104,1.3,124,0.3,143,51,0.5,,,,,,,,,,,,,,
13,06/19/22 01:00:00,256,0.0,,,0.0,305,0.0,303,0.0,110,1.3,129,0.0,128,31,0.0,,,,,,,,,,,,,,
14,06/19/22 01:05:00,256,0.0,,,0.0,70,0.0,303,0.0,112,1.3,126,0.3,132,46,0.0,,,,,,,,,,,,,,
15,06/19/22 01:10:00,256,0.0,,,0.0,69,0.0,305,0.0,114,1.7,132,0.3,143,45,0.0,,,,,,,,,,,,,,
