Line#,Date,"Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398676-1), *C, RX3000_BRW1","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6"
1,09/01/22 00:00:00,3.960,4.50,,3.84,3.97,4.14,4.067,,,,,,,4.089
2,09/01/22 00:30:00,4.260,5.12,,4.09,4.22,4.46,4.110,,,,,,,4.410
3,09/01/22 01:00:00,4.389,5.30,,4.16,4.31,4.61,4.282,,,,,,,4.389
4,09/01/22 01:30:00,4.067,4.61,,4.03,4.20,4.31,4.089,,,,,,,3.960
5,09/01/22 02:00:00,3.810,4.33,,3.77,3.97,3.99,4.024,,,,,,,4.067
6,09/01/22 02:30:00,4.110,4.59,,3.94,4.07,4.24,4.110,,,,,,,4.282
7,09/01/22 03:00:00,3.874,4.33,,3.79,3.92,4.05,3.982,,,,,,,3.810
8,09/01/22 03:30:00,3.746,4.01,,3.69,3.84,3.90,3.831,,,,,,,3.767
9,09/01/22 04:00:00,3.660,4.09,,3.62,3.79,3.86,3.703,,,,,,,3.617
10,09/01/22 04:30:00,3.488,3.86,,3.47,3.62,3.69,3.510,,,,,,,3.488
11,09/01/22 05:00:00,3.510,3.73,,3.47,3.54,3.64,3.445,,,,,,,3.424
12,09/01/22 05:30:00,3.488,3.73,,3.45,3.58,3.67,3.510,,,,,,,3.424
13,09/01/22 06:00:00,3.660,3.82,,3.60,3.62,3.79,3.617,,,,,,,3.424
14,09/01/22 06:30:00,3.488,3.71,,3.52,3.56,3.62,3.467,,,,,,,3.381
15,09/01/22 07:00:00,3.638,3.82,,3.64,3.67,3.77,3.660,,,,,,,3.531
16,09/01/22 07:30:00,3.853,3.99,,3.86,3.88,4.01,3.831,,,,,,,3.681
17,09/01/22 08:00:00,3.853,3.99,,3.82,3.92,3.97,3.831,,,,,,,3.746
18,09/01/22 08:30:00,3.810,3.90,,3.82,3.82,3.90,3.767,,,,,,,3.724
19,09/01/22 09:00:00,3.767,3.88,,3.69,3.79,3.88,3.724,,,,,,,3.638
20,09/01/22 09:30:00,3.595,3.75,,3.62,3.67,3.73,3.574,,,,,,,3.467
