"","date","station","sensor","depth","airavg"
"1","2022-07-04","BUECI","BUECI-SE","1",3.75405405405405
"2","2022-07-05","BUECI","BUECI-SE","1",3.491875
"3","2022-07-06","BUECI","BUECI-SE","1",7.49791666666667
"4","2022-07-07","BUECI","BUECI-SE","1",6.90291666666667
"5","2022-07-08","BUECI","BUECI-SE","1",4.20729166666667
"6","2022-07-09","BUECI","BUECI-SE","1",7.101875
"7","2022-07-10","BUECI","BUECI-SE","1",9.67083333333333
"8","2022-07-11","BUECI","BUECI-SE","1",6.67166666666667
"9","2022-07-12","BUECI","BUECI-SE","1",2.06791666666667
"10","2022-07-13","BUECI","BUECI-SE","1",3.01333333333333
"11","2022-07-14","BUECI","BUECI-SE","1",1.35416666666667
"12","2022-07-15","BUECI","BUECI-SE","1",1.534375
"13","2022-07-16","BUECI","BUECI-SE","1",2.539375
"14","2022-07-17","BUECI","BUECI-SE","1",3.13583333333333
"15","2022-07-18","BUECI","BUECI-SE","1",4.03916666666667
"16","2022-07-19","BUECI","BUECI-SE","1",5.14604166666667
"17","2022-07-20","BUECI","BUECI-SE","1",6.41854166666667
"18","2022-07-21","BUECI","BUECI-SE","1",6.60125
"19","2022-07-22","BUECI","BUECI-SE","1",3.46375
"20","2022-07-23","BUECI","BUECI-SE","1",2.255
"21","2022-07-24","BUECI","BUECI-SE","1",2.78145833333333
"22","2022-07-25","BUECI","BUECI-SE","1",3.80645833333333
"23","2022-07-26","BUECI","BUECI-SE","1",1.64354166666667
"24","2022-07-27","BUECI","BUECI-SE","1",0.881875
"25","2022-07-28","BUECI","BUECI-SE","1",1.009375
"26","2022-07-29","BUECI","BUECI-SE","1",1.90354166666667
"27","2022-07-30","BUECI","BUECI-SE","1",0.905
"28","2022-07-31","BUECI","BUECI-SE","1",1.35645833333333
"29","2022-08-01","BUECI","BUECI-SE","1",1.35354166666667
"30","2022-08-02","BUECI","BUECI-SE","1",3.78416666666667
"31","2022-08-03","BUECI","BUECI-SE","1",9.56520833333333
"32","2022-08-04","BUECI","BUECI-SE","1",10.3854166666667
"33","2022-08-05","BUECI","BUECI-SE","1",8.8375
"34","2022-06-19","TNHA","TNHA-BASE","1",2.34041319444444
"35","2022-06-20","TNHA","TNHA-BASE","1",10.90328125
"36","2022-06-21","TNHA","TNHA-BASE","1",10.4453993055556
