"","date","station","sensor","depth","gtavg"
"1","2022-06-19","TNHA","TNHA-BASE",7,4.26736111111111
"2","2022-06-20","TNHA","TNHA-BASE",7,7.87430555555556
"3","2022-06-21","TNHA","TNHA-BASE",7,8.95347222222222
"4","2022-06-22","TNHA","TNHA-BASE",7,6.21354166666667
"5","2022-06-23","TNHA","TNHA-BASE",7,6.09201388888889
"6","2022-06-24","TNHA","TNHA-BASE",7,6.12291666666667
"7","2022-06-25","TNHA","TNHA-BASE",7,6.36145833333333
"8","2022-06-26","TNHA","TNHA-BASE",7,9.74652777777778
"9","2022-06-27","TNHA","TNHA-BASE",7,12.1079861111111
"10","2022-06-28","TNHA","TNHA-BASE",7,9.15694444444444
"11","2022-06-29","TNHA","TNHA-BASE",7,8.70138888888889
"12","2022-06-30","TNHA","TNHA-BASE",7,7.80179372197309
"13","2022-07-01","TNHA","TNHA-BASE",7,10.3229166666667
"14","2022-07-02","TNHA","TNHA-BASE",7,8.86458333333333
"15","2022-07-03","TNHA","TNHA-BASE",7,8.19583333333333
"16","2022-07-04","TNHA","TNHA-BASE",7,6.9625
"17","2022-07-05","TNHA","TNHA-BASE",7,6.2375
"18","2022-07-06","TNHA","TNHA-BASE",7,8.66666666666667
"19","2022-07-07","TNHA","TNHA-BASE",7,8.39583333333333
"20","2022-07-08","TNHA","TNHA-BASE",7,6.98666666666667
"21","2022-08-15","TNHA","TNHA-BASE",7,2.46
"22","2022-08-16","TNHA","TNHA-BASE",7,1.84583333333333
"23","2022-08-17","TNHA","TNHA-BASE",7,2.6
"24","2022-08-18","TNHA","TNHA-BASE",7,2.51666666666667
"25","2022-08-19","TNHA","TNHA-BASE",7,2.04375
"26","2022-08-20","TNHA","TNHA-BASE",7,1.79
"27","2022-08-21","TNHA","TNHA-BASE",7,1.15384615384615
"28","2022-08-22","TNHA","TNHA-BASE",7,1.65952380952381
"29","2022-08-23","TNHA","TNHA-BASE",7,2.26458333333333
"30","2022-08-24","TNHA","TNHA-BASE",7,3.76818181818182
"31","2022-08-25","TNHA","TNHA-BASE",7,6.26521739130435
"32","2022-08-26","TNHA","TNHA-BASE",7,5.94772727272727
"33","2022-08-27","TNHA","TNHA-BASE",7,5.11875
"34","2022-08-28","TNHA","TNHA-BASE",7,5.04255319148936
"35","2022-08-29","TNHA","TNHA-BASE",7,5.26458333333333
"36","2022-08-30","TNHA","TNHA-BASE",7,4.7
"37","2022-08-31","TNHA","TNHA-BASE",7,4.36041666666667
"38","2022-09-01","TNHA","TNHA-BASE",7,5.1
"39","2022-07-04","BUECI","BUECI-SC",7,8.93243243243243
"40","2022-07-05","BUECI","BUECI-SC",7,9.16666666666667
"41","2022-07-06","BUECI","BUECI-SC",7,10.4166666666667
"42","2022-07-07","BUECI","BUECI-SC",7,10.9375
"43","2022-07-08","BUECI","BUECI-SC",7,9.03125
"44","2022-07-09","BUECI","BUECI-SC",7,10.2395833333333
"45","2022-07-10","BUECI","BUECI-SC",7,13.34375
"46","2022-07-11","BUECI","BUECI-SC",7,13.9583333333333
"47","2022-07-12","BUECI","BUECI-SC",7,8.63541666666667
"48","2022-07-13","BUECI","BUECI-SC",7,8.15625
"49","2022-07-14","BUECI","BUECI-SC",7,10.6875
"50","2022-07-15","BUECI","BUECI-SC",7,9.51041666666667
"51","2022-07-16","BUECI","BUECI-SC",7,6.85416666666667
"52","2022-07-17","BUECI","BUECI-SC",7,6.5
"53","2022-07-18","BUECI","BUECI-SC",7,6.76041666666667
"54","2022-07-19","BUECI","BUECI-SC",7,6.73958333333333
"55","2022-07-20","BUECI","BUECI-SC",7,8.48958333333333
"56","2022-07-21","BUECI","BUECI-SC",7,10.3333333333333
"57","2022-07-22","BUECI","BUECI-SC",7,9.36363636363636
"58","2022-06-19","SSMH","SSMH-SB",7,3.29057591623037
"59","2022-06-20","SSMH","SSMH-SB",7,8.72916666666667
"60","2022-06-21","SSMH","SSMH-SB",7,9.203125
"61","2022-06-22","SSMH","SSMH-SB",7,6.30034722222222
"62","2022-06-23","SSMH","SSMH-SB",7,5.94097222222222
"63","2022-06-24","SSMH","SSMH-SB",7,6.31076388888889
"64","2022-06-25","SSMH","SSMH-SB",7,7.11458333333333
"65","2022-06-26","SSMH","SSMH-SB",7,10.0364583333333
"66","2022-06-27","SSMH","SSMH-SB",7,11.5590277777778
"67","2022-06-28","SSMH","SSMH-SB",7,8.98611111111111
"68","2022-06-29","SSMH","SSMH-SB",7,9.39756944444445
"69","2022-06-30","SSMH","SSMH-SB",7,8.96929824561403
"70","2022-07-01","SSMH","SSMH-SB",7,9.54166666666667
"71","2022-07-02","SSMH","SSMH-SB",7,8.96875
"72","2022-07-03","SSMH","SSMH-SB",7,8.84375
"73","2022-07-04","SSMH","SSMH-SB",7,7.26041666666667
"74","2022-07-05","SSMH","SSMH-SB",7,6.1875
"75","2022-07-06","SSMH","SSMH-SB",7,8.64583333333333
"76","2022-07-07","SSMH","SSMH-SB",7,8.32291666666667
"77","2022-07-08","SSMH","SSMH-SB",7,6.57142857142857
"78","2022-08-15","SSMH","SSMH-SB",7,2
"79","2022-08-16","SSMH","SSMH-SB",7,1.20833333333333
"80","2022-08-17","SSMH","SSMH-SB",7,2.22916666666667
"81","2022-08-18","SSMH","SSMH-SB",7,2.27083333333333
"82","2022-08-19","SSMH","SSMH-SB",7,1.8125
"83","2022-08-20","SSMH","SSMH-SB",7,1.26041666666667
"84","2022-08-21","SSMH","SSMH-SB",7,1.32291666666667
"85","2022-08-22","SSMH","SSMH-SB",7,1.79166666666667
"86","2022-08-23","SSMH","SSMH-SB",7,2.47916666666667
"87","2022-08-24","SSMH","SSMH-SB",7,4.15625
"88","2022-08-25","SSMH","SSMH-SB",7,5.04255319148936
"89","2022-08-26","SSMH","SSMH-SB",7,5.8936170212766
"90","2022-08-27","SSMH","SSMH-SB",7,4.33333333333333
"91","2022-08-28","SSMH","SSMH-SB",7,4.3125
"92","2022-08-29","SSMH","SSMH-SB",7,4.64583333333333
"93","2022-08-30","SSMH","SSMH-SB",7,5.05208333333333
"94","2022-08-31","SSMH","SSMH-SB",7,4.70833333333333
"95","2022-09-01","SSMH","SSMH-SB",7,5.5
"96","2022-06-19","TNHA","TNHA-SC",7,2.38269230769231
"97","2022-06-20","TNHA","TNHA-SC",7,7.14409722222222
"98","2022-06-21","TNHA","TNHA-SC",7,8.13368055555556
"99","2022-06-22","TNHA","TNHA-SC",7,6.66666666666667
"100","2022-06-23","TNHA","TNHA-SC",7,6.84895833333333
"101","2022-06-24","TNHA","TNHA-SC",7,6.83506944444444
"102","2022-06-25","TNHA","TNHA-SC",7,7.39930555555556
"103","2022-06-26","TNHA","TNHA-SC",7,10.0694444444444
"104","2022-06-27","TNHA","TNHA-SC",7,10.4895833333333
"105","2022-06-28","TNHA","TNHA-SC",7,8.55729166666667
"106","2022-06-29","TNHA","TNHA-SC",7,8.828125
"107","2022-06-30","TNHA","TNHA-SC",7,9.01576576576577
"108","2022-07-01","TNHA","TNHA-SC",7,8.18571428571429
"109","2022-07-02","TNHA","TNHA-SC",7,7.1195652173913
"110","2022-07-03","TNHA","TNHA-SC",7,6.83333333333333
"111","2022-07-04","TNHA","TNHA-SC",7,5.88541666666667
"112","2022-07-05","TNHA","TNHA-SC",7,5.88541666666667
"113","2022-07-06","TNHA","TNHA-SC",7,7.6875
"114","2022-07-07","TNHA","TNHA-SC",7,8.3125
"115","2022-07-08","TNHA","TNHA-SC",7,5.85416666666667
"116","2022-07-09","TNHA","TNHA-SC",7,7.34375
"117","2022-07-10","TNHA","TNHA-SC",7,9.79166666666667
"118","2022-07-11","TNHA","TNHA-SC",7,7.98958333333333
"119","2022-07-12","TNHA","TNHA-SC",7,4.125
"120","2022-07-13","TNHA","TNHA-SC",7,4.23958333333333
"121","2022-07-14","TNHA","TNHA-SC",7,3.53125
