"","date","station","sensor","depth","vwcavg"
"1","2022-06-19","TNHA","TNHA-BASE",1,0
"2","2022-06-20","TNHA","TNHA-BASE",1,0
"3","2022-06-21","TNHA","TNHA-BASE",1,0.0252673611111111
"4","2022-06-22","TNHA","TNHA-BASE",1,0.0554131944444445
"5","2022-06-23","TNHA","TNHA-BASE",1,0.000871527777777777
"6","2022-06-24","TNHA","TNHA-BASE",1,0.00980555555555556
"7","2022-06-25","TNHA","TNHA-BASE",1,0
"8","2022-06-26","TNHA","TNHA-BASE",1,0
"9","2022-06-27","TNHA","TNHA-BASE",1,0
"10","2022-06-28","TNHA","TNHA-BASE",1,0
"11","2022-06-29","TNHA","TNHA-BASE",1,0.0623506944444446
"12","2022-06-30","TNHA","TNHA-BASE",1,0.0087982062780269
"13","2022-07-01","TNHA","TNHA-BASE",1,0
"14","2022-07-02","TNHA","TNHA-BASE",1,0
"15","2022-07-03","TNHA","TNHA-BASE",1,0
"16","2022-07-04","TNHA","TNHA-BASE",1,0
"17","2022-07-05","TNHA","TNHA-BASE",1,0
"18","2022-07-06","TNHA","TNHA-BASE",1,0.00410416666666667
"19","2022-07-07","TNHA","TNHA-BASE",1,0
"20","2022-07-08","TNHA","TNHA-BASE",1,0
"21","2022-08-15","TNHA","TNHA-BASE",1,0.0651
"22","2022-08-16","TNHA","TNHA-BASE",1,0.0942916666666667
"23","2022-08-17","TNHA","TNHA-BASE",1,0.00991666666666667
"24","2022-08-18","TNHA","TNHA-BASE",1,0.000270833333333333
"25","2022-08-19","TNHA","TNHA-BASE",1,0.00139583333333333
"26","2022-08-20","TNHA","TNHA-BASE",1,0
"27","2022-08-21","TNHA","TNHA-BASE",1,0
"28","2022-08-22","TNHA","TNHA-BASE",1,0
"29","2022-08-23","TNHA","TNHA-BASE",1,0
"30","2022-08-24","TNHA","TNHA-BASE",1,0
"31","2022-08-25","TNHA","TNHA-BASE",1,0.00133333333333333
"32","2022-08-26","TNHA","TNHA-BASE",1,0
"33","2022-08-27","TNHA","TNHA-BASE",1,0
"34","2022-08-28","TNHA","TNHA-BASE",1,0.00177083333333333
"35","2022-08-29","TNHA","TNHA-BASE",1,0
"36","2022-08-30","TNHA","TNHA-BASE",1,0
"37","2022-08-31","TNHA","TNHA-BASE",1,0.00310416666666667
"38","2022-09-01","TNHA","TNHA-BASE",1,0
"39","2022-07-04","BUECI","BUECI-SC",1,0.0683513513513514
"40","2022-07-05","BUECI","BUECI-SC",1,0.0675833333333333
"41","2022-07-06","BUECI","BUECI-SC",1,0.0679791666666667
"42","2022-07-07","BUECI","BUECI-SC",1,0.0678958333333333
"43","2022-07-08","BUECI","BUECI-SC",1,0.0655
"44","2022-07-09","BUECI","BUECI-SC",1,0.0663958333333333
"45","2022-07-10","BUECI","BUECI-SC",1,0.0697916666666667
"46","2022-07-11","BUECI","BUECI-SC",1,0.0707916666666667
"47","2022-07-12","BUECI","BUECI-SC",1,0.06375
"48","2022-07-13","BUECI","BUECI-SC",1,0.06275
"49","2022-07-14","BUECI","BUECI-SC",1,0.0661666666666667
"50","2022-07-15","BUECI","BUECI-SC",1,0.0650208333333333
"51","2022-07-16","BUECI","BUECI-SC",1,0.0614166666666667
"52","2022-07-17","BUECI","BUECI-SC",1,0.0607291666666667
"53","2022-07-18","BUECI","BUECI-SC",1,0.0609166666666667
"54","2022-07-19","BUECI","BUECI-SC",1,0.060875
"55","2022-07-20","BUECI","BUECI-SC",1,0.06325
"56","2022-07-21","BUECI","BUECI-SC",1,0.0658958333333333
"57","2022-07-22","BUECI","BUECI-SC",1,0.0645263157894737
"58","2022-06-19","SSMH","SSMH-SB",1,0.350368055555556
"59","2022-06-20","SSMH","SSMH-SB",1,0.324899305555556
"60","2022-06-21","SSMH","SSMH-SB",1,0.303211805555556
"61","2022-06-22","SSMH","SSMH-SB",1,0.29040625
"62","2022-06-23","SSMH","SSMH-SB",1,0.295642361111111
"63","2022-06-24","SSMH","SSMH-SB",1,0.296559027777778
"64","2022-06-25","SSMH","SSMH-SB",1,0.292527777777778
"65","2022-06-26","SSMH","SSMH-SB",1,0.293378472222222
"66","2022-06-27","SSMH","SSMH-SB",1,0.298625
"67","2022-06-28","SSMH","SSMH-SB",1,0.295152777777778
"68","2022-06-29","SSMH","SSMH-SB",1,0.315583333333333
"69","2022-06-30","SSMH","SSMH-SB",1,0.295798245614035
"70","2022-07-01","SSMH","SSMH-SB",1,0.296708333333333
"71","2022-07-02","SSMH","SSMH-SB",1,0.296604166666667
"72","2022-07-03","SSMH","SSMH-SB",1,0.296166666666667
"73","2022-07-04","SSMH","SSMH-SB",1,0.2938125
"74","2022-07-05","SSMH","SSMH-SB",1,0.289375
"75","2022-07-06","SSMH","SSMH-SB",1,0.291270833333333
"76","2022-07-07","SSMH","SSMH-SB",1,0.288833333333333
"77","2022-07-08","SSMH","SSMH-SB",1,0.284277777777778
"78","2022-08-15","SSMH","SSMH-SB",1,0.358
"79","2022-08-16","SSMH","SSMH-SB",1,0.363375
"80","2022-08-17","SSMH","SSMH-SB",1,0.329354166666667
"81","2022-08-18","SSMH","SSMH-SB",1,0.339354166666667
"82","2022-08-19","SSMH","SSMH-SB",1,0.338833333333333
"83","2022-08-20","SSMH","SSMH-SB",1,0.3281875
"84","2022-08-21","SSMH","SSMH-SB",1,0.328208333333333
"85","2022-08-22","SSMH","SSMH-SB",1,0.328958333333333
"86","2022-08-23","SSMH","SSMH-SB",1,0.3306875
"87","2022-08-24","SSMH","SSMH-SB",1,0.332125
"88","2022-08-25","SSMH","SSMH-SB",1,0.334041666666667
"89","2022-08-26","SSMH","SSMH-SB",1,0.334604166666667
"90","2022-08-27","SSMH","SSMH-SB",1,0.3338125
"91","2022-08-28","SSMH","SSMH-SB",1,0.3358125
"92","2022-08-29","SSMH","SSMH-SB",1,0.334
"93","2022-08-30","SSMH","SSMH-SB",1,0.334520833333333
"94","2022-08-31","SSMH","SSMH-SB",1,0.335020833333333
"95","2022-09-01","SSMH","SSMH-SB",1,0.335
"96","2022-06-19","TNHA","TNHA-SC",1,0.343993055555556
"97","2022-06-20","TNHA","TNHA-SC",1,0.377041666666667
"98","2022-06-21","TNHA","TNHA-SC",1,0.323927083333333
"99","2022-06-22","TNHA","TNHA-SC",1,0.268541666666667
"100","2022-06-23","TNHA","TNHA-SC",1,0.250621527777778
"101","2022-06-24","TNHA","TNHA-SC",1,0.262722222222222
"102","2022-06-25","TNHA","TNHA-SC",1,0.235916666666667
"103","2022-06-26","TNHA","TNHA-SC",1,0.216680555555556
"104","2022-06-27","TNHA","TNHA-SC",1,0.224496527777778
"105","2022-06-28","TNHA","TNHA-SC",1,0.2315625
"106","2022-06-29","TNHA","TNHA-SC",1,0.242472222222222
"107","2022-06-30","TNHA","TNHA-SC",1,0.254022522522523
"108","2022-07-01","TNHA","TNHA-SC",1,0.211333333333333
"109","2022-07-02","TNHA","TNHA-SC",1,0.194083333333333
"110","2022-07-03","TNHA","TNHA-SC",1,0.124979166666667
"111","2022-07-04","TNHA","TNHA-SC",1,0.110979166666667
"112","2022-07-05","TNHA","TNHA-SC",1,0.106041666666667
"113","2022-07-06","TNHA","TNHA-SC",1,0.168395833333333
"114","2022-07-07","TNHA","TNHA-SC",1,0.188354166666667
"115","2022-07-08","TNHA","TNHA-SC",1,0.165166666666667
"116","2022-07-09","TNHA","TNHA-SC",1,0.147166666666667
"117","2022-07-10","TNHA","TNHA-SC",1,0.13825
"118","2022-07-11","TNHA","TNHA-SC",1,0.1340625
"119","2022-07-12","TNHA","TNHA-SC",1,0.180104166666667
"120","2022-07-13","TNHA","TNHA-SC",1,0.2494375
"121","2022-07-14","TNHA","TNHA-SC",1,0.159833333333333
"122","2022-07-15","TNHA","TNHA-SC",1,0.168645833333333
"123","2022-07-16","TNHA","TNHA-SC",1,0.153395833333333
"124","2022-07-17","TNHA","TNHA-SC",1,0.161333333333333
"125","2022-07-18","TNHA","TNHA-SC",1,0.1478125
"126","2022-07-19","TNHA","TNHA-SC",1,0.175270833333333
"127","2022-07-20","TNHA","TNHA-SC",1,0.146020833333333
"128","2022-07-21","TNHA","TNHA-SC",1,0.140083333333333
"129","2022-07-22","TNHA","TNHA-SC",1,0.161083333333333
"130","2022-07-23","TNHA","TNHA-SC",1,0.148666666666667
"131","2022-07-24","TNHA","TNHA-SC",1,0.178645833333333
"132","2022-07-25","TNHA","TNHA-SC",1,0.1635
"133","2022-07-26","TNHA","TNHA-SC",1,0.252166666666667
"134","2022-07-27","TNHA","TNHA-SC",1,0.453229166666667
"135","2022-07-28","TNHA","TNHA-SC",1,0.4614375
"136","2022-07-29","TNHA","TNHA-SC",1,0.456541666666667
"137","2022-07-30","TNHA","TNHA-SC",1,0.4151875
"138","2022-07-31","TNHA","TNHA-SC",1,0.3780625
"139","2022-08-01","TNHA","TNHA-SC",1,0.236479166666667
"140","2022-08-02","TNHA","TNHA-SC",1,0.191083333333333
"141","2022-08-03","TNHA","TNHA-SC",1,0.2129375
"142","2022-08-04","TNHA","TNHA-SC",1,0.2935625
"143","2022-08-05","TNHA","TNHA-SC",1,0.441125
"144","2022-08-06","TNHA","TNHA-SC",1,0.462208333333333
"145","2022-08-07","TNHA","TNHA-SC",1,0.463083333333333
"146","2022-08-08","TNHA","TNHA-SC",1,0.43325
"147","2022-08-09","TNHA","TNHA-SC",1,0.41375
"148","2022-08-10","TNHA","TNHA-SC",1,0.438395833333333
"149","2022-08-11","TNHA","TNHA-SC",1,0.4495625
"150","2022-08-12","TNHA","TNHA-SC",1,0.463
"151","2022-08-13","TNHA","TNHA-SC",1,0.467375
"152","2022-08-14","TNHA","TNHA-SC",1,0.4558125
"153","2022-08-15","TNHA","TNHA-SC",1,0.453875
"154","2022-08-16","TNHA","TNHA-SC",1,0.456125
"155","2022-08-17","TNHA","TNHA-SC",1,0.457
"156","2022-08-18","TNHA","TNHA-SC",1,0.4575625
"157","2022-08-19","TNHA","TNHA-SC",1,0.4600625
"158","2022-08-20","TNHA","TNHA-SC",1,0.457666666666667
"159","2022-08-21","TNHA","TNHA-SC",1,0.419645833333333
"160","2022-08-22","TNHA","TNHA-SC",1,0.333020833333333
"161","2022-08-23","TNHA","TNHA-SC",1,0.267395833333333
"162","2022-08-24","TNHA","TNHA-SC",1,0.388583333333333
"163","2022-08-25","TNHA","TNHA-SC",1,0.4180625
"164","2022-08-26","TNHA","TNHA-SC",1,0.456875
"165","2022-08-27","TNHA","TNHA-SC",1,0.481958333333333
"166","2022-08-28","TNHA","TNHA-SC",1,0.482166666666667
"167","2022-08-29","TNHA","TNHA-SC",1,0.4569375
"168","2022-08-30","TNHA","TNHA-SC",1,0.416583333333333
"169","2022-08-31","TNHA","TNHA-SC",1,0.42375
"170","2022-09-01","TNHA","TNHA-SC",1,0.434
"171","2022-07-04","BEO","BEO-BASE",1,0
"172","2022-07-05","BEO","BEO-BASE",1,0
"173","2022-07-06","BEO","BEO-BASE",1,0
"174","2022-07-07","BEO","BEO-BASE",1,1.04166666666667e-05
"175","2022-07-08","BEO","BEO-BASE",1,0
"176","2022-07-09","BEO","BEO-BASE",1,0
"177","2022-07-10","BEO","BEO-BASE",1,0
"178","2022-07-11","BEO","BEO-BASE",1,0
"179","2022-07-12","BEO","BEO-BASE",1,0
"180","2022-07-13","BEO","BEO-BASE",1,0
"181","2022-07-14","BEO","BEO-BASE",1,0
"182","2022-07-15","BEO","BEO-BASE",1,0
"183","2022-07-16","BEO","BEO-BASE",1,0
"184","2022-07-17","BEO","BEO-BASE",1,0
"185","2022-07-18","BEO","BEO-BASE",1,0
"186","2022-07-19","BEO","BEO-BASE",1,0
"187","2022-07-20","BEO","BEO-BASE",1,0
"188","2022-07-21","BEO","BEO-BASE",1,0
"189","2022-07-22","BEO","BEO-BASE",1,0
"190","2022-07-23","BEO","BEO-BASE",1,0
"191","2022-07-24","BEO","BEO-BASE",1,0
"192","2022-07-25","BEO","BEO-BASE",1,0
"193","2022-07-26","BEO","BEO-BASE",1,0.0054375
"194","2022-07-27","BEO","BEO-BASE",1,0.0241666666666667
"195","2022-07-28","BEO","BEO-BASE",1,0.004
"196","2022-07-29","BEO","BEO-BASE",1,0
"197","2022-07-30","BEO","BEO-BASE",1,0
"198","2022-07-31","BEO","BEO-BASE",1,0
"199","2022-08-01","BEO","BEO-BASE",1,0
"200","2022-08-02","BEO","BEO-BASE",1,0
"201","2022-08-03","BEO","BEO-BASE",1,0
"202","2022-08-04","BEO","BEO-BASE",1,0
"203","2022-08-05","BEO","BEO-BASE",1,6.25e-05
"204","2022-08-06","BEO","BEO-BASE",1,0
"205","2022-08-07","BEO","BEO-BASE",1,0
"206","2022-08-08","BEO","BEO-BASE",1,0
"207","2022-08-09","BEO","BEO-BASE",1,0
"208","2022-08-10","BEO","BEO-BASE",1,0
"209","2022-08-11","BEO","BEO-BASE",1,0
"210","2022-08-12","BEO","BEO-BASE",1,0
"211","2022-08-13","BEO","BEO-BASE",1,0
"212","2022-08-14","BEO","BEO-BASE",1,0
"213","2022-08-15","BEO","BEO-BASE",1,0
"214","2022-08-16","BEO","BEO-BASE",1,0.00189473684210526
"215","2022-08-17","BEO","BEO-BASE",1,0
"216","2022-08-18","BEO","BEO-BASE",1,0
"217","2022-08-19","BEO","BEO-BASE",1,0
"218","2022-08-20","BEO","BEO-BASE",1,0
"219","2022-08-21","BEO","BEO-BASE",1,0
"220","2022-08-22","BEO","BEO-BASE",1,0
"221","2022-08-23","BEO","BEO-BASE",1,0
"222","2022-08-24","BEO","BEO-BASE",1,0
"223","2022-08-25","BEO","BEO-BASE",1,0
"224","2022-08-26","BEO","BEO-BASE",1,0
"225","2022-08-27","BEO","BEO-BASE",1,0
"226","2022-08-28","BEO","BEO-BASE",1,0
"227","2022-08-29","BEO","BEO-BASE",1,0
"228","2022-08-30","BEO","BEO-BASE",1,0
"229","2022-08-31","BEO","BEO-BASE",1,0
"230","2022-09-01","BEO","BEO-BASE",1,0
"231","2022-06-19","SSMH","SSMH-SD",1,0.312565972222222
"232","2022-06-20","SSMH","SSMH-SD",1,0.313333333333333
"233","2022-06-21","SSMH","SSMH-SD",1,0.311708333333333
"234","2022-06-22","SSMH","SSMH-SD",1,0.312951388888889
"235","2022-06-23","SSMH","SSMH-SD",1,0.314076388888889
"236","2022-06-24","SSMH","SSMH-SD",1,0.315524305555556
"237","2022-06-25","SSMH","SSMH-SD",1,0.315944444444444
"238","2022-06-26","SSMH","SSMH-SD",1,0.316444444444444
"239","2022-06-27","SSMH","SSMH-SD",1,0.316822916666667
"240","2022-06-28","SSMH","SSMH-SD",1,0.316430555555556
"241","2022-06-29","SSMH","SSMH-SD",1,0.31734375
"242","2022-06-30","SSMH","SSMH-SD",1,0.318978070175439
"243","2022-07-01","SSMH","SSMH-SD",1,0.317520833333333
"244","2022-07-02","SSMH","SSMH-SD",1,0.314875
"245","2022-07-03","SSMH","SSMH-SD",1,0.3119375
"246","2022-07-04","SSMH","SSMH-SD",1,0.3099375
"247","2022-07-05","SSMH","SSMH-SD",1,0.31047619047619
"248","2022-08-15","SSMH","SSMH-SD",1,0.33
"249","2022-08-16","SSMH","SSMH-SD",1,0.329625
"250","2022-08-17","SSMH","SSMH-SD",1,0.332083333333333
"251","2022-08-18","SSMH","SSMH-SD",1,0.332458333333333
"252","2022-08-19","SSMH","SSMH-SD",1,0.333104166666667
"253","2022-08-20","SSMH","SSMH-SD",1,0.333145833333333
"254","2022-08-21","SSMH","SSMH-SD",1,0.329791666666667
"255","2022-08-22","SSMH","SSMH-SD",1,0.3264375
"256","2022-08-23","SSMH","SSMH-SD",1,0.327333333333333
"257","2022-08-24","SSMH","SSMH-SD",1,0.331520833333333
"258","2022-08-25","SSMH","SSMH-SD",1,0.332395833333333
"259","2022-08-26","SSMH","SSMH-SD",1,0.333166666666667
"260","2022-08-27","SSMH","SSMH-SD",1,0.331333333333333
"261","2022-08-28","SSMH","SSMH-SD",1,0.3321875
"262","2022-08-29","SSMH","SSMH-SD",1,0.3323125
"263","2022-08-30","SSMH","SSMH-SD",1,0.331625
"264","2022-08-31","SSMH","SSMH-SD",1,0.3306875
"265","2022-09-01","SSMH","SSMH-SD",1,0.331
"266","2022-07-04","BUECI","BUECI-SF01",1,0.290621621621622
"267","2022-07-05","BUECI","BUECI-SF01",1,0.288291666666667
"268","2022-07-06","BUECI","BUECI-SF01",1,0.288145833333333
"269","2022-07-07","BUECI","BUECI-SF01",1,0.286020833333333
"270","2022-07-08","BUECI","BUECI-SF01",1,0.282457142857143
"271","2022-07-04","BUECI","BUECI-SE",1,0.0827567567567568
"272","2022-07-05","BUECI","BUECI-SE",1,0.0793541666666667
"273","2022-07-06","BUECI","BUECI-SE",1,0.082125
"274","2022-07-07","BUECI","BUECI-SE",1,0.0833958333333333
"275","2022-07-08","BUECI","BUECI-SE",1,0.0806666666666667
"276","2022-07-09","BUECI","BUECI-SE",1,0.07825
"277","2022-07-10","BUECI","BUECI-SE",1,0.0783541666666667
"278","2022-07-11","BUECI","BUECI-SE",1,0.0774375
"279","2022-07-12","BUECI","BUECI-SE",1,0.070125
"280","2022-07-13","BUECI","BUECI-SE",1,0.0705416666666667
"281","2022-07-14","BUECI","BUECI-SE",1,0.0675625
"282","2022-07-15","BUECI","BUECI-SE",1,0.0633541666666667
"283","2022-07-16","BUECI","BUECI-SE",1,0.0621875
"284","2022-07-17","BUECI","BUECI-SE",1,0.0603541666666667
"285","2022-07-18","BUECI","BUECI-SE",1,0.059375
"286","2022-07-19","BUECI","BUECI-SE",1,0.0590833333333333
"287","2022-07-20","BUECI","BUECI-SE",1,0.058375
"288","2022-07-21","BUECI","BUECI-SE",1,0.0584166666666667
"289","2022-07-22","BUECI","BUECI-SE",1,0.0547708333333333
"290","2022-07-23","BUECI","BUECI-SE",1,0.0536041666666667
"291","2022-07-24","BUECI","BUECI-SE",1,0.0529375
"292","2022-07-25","BUECI","BUECI-SE",1,0.053875
"293","2022-07-26","BUECI","BUECI-SE",1,0.0652291666666667
"294","2022-07-27","BUECI","BUECI-SE",1,0.337166666666667
"295","2022-07-28","BUECI","BUECI-SE",1,0.323
"296","2022-07-29","BUECI","BUECI-SE",1,0.145666666666667
"297","2022-07-30","BUECI","BUECI-SE",1,0.136895833333333
"298","2022-07-31","BUECI","BUECI-SE",1,0.128958333333333
"299","2022-08-01","BUECI","BUECI-SE",1,0.121604166666667
"300","2022-08-02","BUECI","BUECI-SE",1,0.116791666666667
"301","2022-08-03","BUECI","BUECI-SE",1,0.118166666666667
"302","2022-08-04","BUECI","BUECI-SE",1,0.121354166666667
"303","2022-08-05","BUECI","BUECI-SE",1,0.128666666666667
"304","2022-07-04","BUECI","BUECI-SB",1,0
"305","2022-07-05","BUECI","BUECI-SB",1,0
"306","2022-07-06","BUECI","BUECI-SB",1,0
"307","2022-07-07","BUECI","BUECI-SB",1,0
"308","2022-07-08","BUECI","BUECI-SB",1,0
"309","2022-07-09","BUECI","BUECI-SB",1,0
"310","2022-07-10","BUECI","BUECI-SB",1,0
"311","2022-07-11","BUECI","BUECI-SB",1,0
"312","2022-07-12","BUECI","BUECI-SB",1,0
"313","2022-07-13","BUECI","BUECI-SB",1,0
"314","2022-07-14","BUECI","BUECI-SB",1,0
"315","2022-07-15","BUECI","BUECI-SB",1,0
"316","2022-07-16","BUECI","BUECI-SB",1,0
"317","2022-07-17","BUECI","BUECI-SB",1,0
"318","2022-07-18","BUECI","BUECI-SB",1,0
"319","2022-07-19","BUECI","BUECI-SB",1,0
"320","2022-07-20","BUECI","BUECI-SB",1,0
"321","2022-07-21","BUECI","BUECI-SB",1,0
"322","2022-07-22","BUECI","BUECI-SB",1,0
"323","2022-07-23","BUECI","BUECI-SB",1,0
"324","2022-07-24","BUECI","BUECI-SB",1,0
"325","2022-07-25","BUECI","BUECI-SB",1,0
"326","2022-07-26","BUECI","BUECI-SB",1,0.0403125
"327","2022-07-27","BUECI","BUECI-SB",1,0.0956041666666667
"328","2022-07-28","BUECI","BUECI-SB",1,0.0579166666666667
"329","2022-07-29","BUECI","BUECI-SB",1,0.0476458333333333
"330","2022-07-30","BUECI","BUECI-SB",1,0.0410625
"331","2022-07-31","BUECI","BUECI-SB",1,0.0353541666666667
"332","2022-08-01","BUECI","BUECI-SB",1,0.0295833333333333
"333","2022-08-02","BUECI","BUECI-SB",1,0.0263541666666667
"334","2022-08-03","BUECI","BUECI-SB",1,0.0267708333333333
"335","2022-08-04","BUECI","BUECI-SB",1,0.0262916666666667
"336","2022-08-05","BUECI","BUECI-SB",1,0.0318333333333333
"337","2022-07-04","BUECI","BUECI-SD",1,0.0262432432432432
"338","2022-07-05","BUECI","BUECI-SD",1,0.0258333333333333
"339","2022-07-06","BUECI","BUECI-SD",1,0.02675
"340","2022-07-07","BUECI","BUECI-SD",1,0.0293333333333333
"341","2022-07-04","BUECI","BUECI-BASE",1,0.289526315789474
"342","2022-07-05","BUECI","BUECI-BASE",1,0.2878125
"343","2022-07-06","BUECI","BUECI-BASE",1,0.288291666666667
"344","2022-07-07","BUECI","BUECI-BASE",1,0.287708333333333
"345","2022-07-08","BUECI","BUECI-BASE",1,0.285604166666667
"346","2022-07-09","BUECI","BUECI-BASE",1,0.280479166666667
"347","2022-07-10","BUECI","BUECI-BASE",1,0.2759375
"348","2022-07-11","BUECI","BUECI-BASE",1,0.272083333333333
"349","2022-07-12","BUECI","BUECI-BASE",1,0.266458333333333
"350","2022-07-13","BUECI","BUECI-BASE",1,0.267645833333333
"351","2022-07-14","BUECI","BUECI-BASE",1,0.2665625
"352","2022-07-15","BUECI","BUECI-BASE",1,0.263145833333333
"353","2022-07-16","BUECI","BUECI-BASE",1,0.262625
"354","2022-07-17","BUECI","BUECI-BASE",1,0.259770833333333
"355","2022-07-18","BUECI","BUECI-BASE",1,0.2589375
"356","2022-07-19","BUECI","BUECI-BASE",1,0.258666666666667
"357","2022-07-20","BUECI","BUECI-BASE",1,0.2569375
"358","2022-07-21","BUECI","BUECI-BASE",1,0.2560625
