"","date","station","sensor","depth","wdiravg"
"1","2022-06-17","TNHA","TNHA-BASE",1,212.302491103203
"2","2022-06-18","TNHA","TNHA-BASE",1,171.704861111111
"3","2022-06-19","TNHA","TNHA-BASE",1,222.75
"4","2022-06-20","TNHA","TNHA-BASE",1,282.461805555555
"5","2022-06-21","TNHA","TNHA-BASE",1,205.392361111111
"6","2022-06-22","TNHA","TNHA-BASE",1,190.715277777778
"7","2022-06-23","TNHA","TNHA-BASE",1,216.204861111111
"8","2022-06-24","TNHA","TNHA-BASE",1,201.434027777778
"9","2022-06-25","TNHA","TNHA-BASE",1,267.232638888889
"10","2022-06-26","TNHA","TNHA-BASE",1,245.447916666667
"11","2022-06-27","TNHA","TNHA-BASE",1,275.545138888889
"12","2022-06-28","TNHA","TNHA-BASE",1,155.326388888889
"13","2022-06-29","TNHA","TNHA-BASE",1,247.715277777778
"14","2022-06-30","TNHA","TNHA-BASE",1,241.85201793722
"15","2022-07-01","TNHA","TNHA-BASE",1,304.0625
"16","2022-07-02","TNHA","TNHA-BASE",1,274.416666666667
"17","2022-07-03","TNHA","TNHA-BASE",1,221.291666666667
"18","2022-07-04","TNHA","TNHA-BASE",1,234.270833333333
"19","2022-07-05","TNHA","TNHA-BASE",1,283.708333333333
"20","2022-07-06","TNHA","TNHA-BASE",1,194.916666666667
"21","2022-07-07","TNHA","TNHA-BASE",1,241.9375
"22","2022-07-08","TNHA","TNHA-BASE",1,286.4375
"23","2022-07-09","TNHA","TNHA-BASE",1,228.1875
"24","2022-07-10","TNHA","TNHA-BASE",1,229.375
"25","2022-07-11","TNHA","TNHA-BASE",1,275.375
"26","2022-07-12","TNHA","TNHA-BASE",1,317.1875
"27","2022-07-13","TNHA","TNHA-BASE",1,314.708333333333
"28","2022-07-14","TNHA","TNHA-BASE",1,324.708333333333
"29","2022-07-15","TNHA","TNHA-BASE",1,327.354166666667
"30","2022-07-16","TNHA","TNHA-BASE",1,218.125
"31","2022-07-17","TNHA","TNHA-BASE",1,223.145833333333
"32","2022-07-18","TNHA","TNHA-BASE",1,233.395833333333
"33","2022-07-19","TNHA","TNHA-BASE",1,251.041666666667
"34","2022-07-20","TNHA","TNHA-BASE",1,235.375
"35","2022-07-21","TNHA","TNHA-BASE",1,212.583333333333
"36","2022-07-22","TNHA","TNHA-BASE",1,262.291666666667
"37","2022-07-23","TNHA","TNHA-BASE",1,312.020833333333
"38","2022-07-24","TNHA","TNHA-BASE",1,266.770833333333
"39","2022-07-25","TNHA","TNHA-BASE",1,214.395833333333
"40","2022-07-26","TNHA","TNHA-BASE",1,227.5625
"41","2022-07-27","TNHA","TNHA-BASE",1,325.833333333333
"42","2022-07-28","TNHA","TNHA-BASE",1,333.375
"43","2022-07-29","TNHA","TNHA-BASE",1,335.541666666667
"44","2022-07-30","TNHA","TNHA-BASE",1,280.0625
"45","2022-07-31","TNHA","TNHA-BASE",1,308.395833333333
"46","2022-08-01","TNHA","TNHA-BASE",1,267.791666666667
"47","2022-08-02","TNHA","TNHA-BASE",1,255.770833333333
"48","2022-08-03","TNHA","TNHA-BASE",1,285.4375
"49","2022-08-04","TNHA","TNHA-BASE",1,273.9375
"50","2022-08-05","TNHA","TNHA-BASE",1,295.875
"51","2022-08-06","TNHA","TNHA-BASE",1,332.1875
"52","2022-08-07","TNHA","TNHA-BASE",1,248.8125
"53","2022-08-08","TNHA","TNHA-BASE",1,220.895833333333
"54","2022-08-09","TNHA","TNHA-BASE",1,282.395833333333
"55","2022-08-10","TNHA","TNHA-BASE",1,291.375
"56","2022-08-11","TNHA","TNHA-BASE",1,265.8125
"57","2022-08-12","TNHA","TNHA-BASE",1,264.041666666667
