"","date","station","sensor","depth","wspeedavg"
"1","2022-06-17","TNHA","TNHA-BASE",1,0.380782918149467
"2","2022-06-18","TNHA","TNHA-BASE",1,0.00868055555555556
"3","2022-06-19","TNHA","TNHA-BASE",1,1.73090277777778
"4","2022-06-20","TNHA","TNHA-BASE",1,1.12326388888889
"5","2022-06-21","TNHA","TNHA-BASE",1,0.168402777777777
"6","2022-06-22","TNHA","TNHA-BASE",1,0.225694444444445
"7","2022-06-23","TNHA","TNHA-BASE",1,0.189236111111111
"8","2022-06-24","TNHA","TNHA-BASE",1,0.0364583333333333
"9","2022-06-25","TNHA","TNHA-BASE",1,0.736111111111109
"10","2022-06-26","TNHA","TNHA-BASE",1,0.314236111111111
"11","2022-06-27","TNHA","TNHA-BASE",1,0.493055555555555
"12","2022-06-28","TNHA","TNHA-BASE",1,0.0104166666666667
"13","2022-06-29","TNHA","TNHA-BASE",1,0.777777777777777
"14","2022-06-30","TNHA","TNHA-BASE",1,0.605381165919283
"15","2022-07-01","TNHA","TNHA-BASE",1,0.15625
"16","2022-07-02","TNHA","TNHA-BASE",1,1.29166666666667
"17","2022-07-03","TNHA","TNHA-BASE",1,2.30208333333333
"18","2022-07-04","TNHA","TNHA-BASE",1,1.20833333333333
"19","2022-07-05","TNHA","TNHA-BASE",1,0.0520833333333333
"20","2022-07-06","TNHA","TNHA-BASE",1,0.1875
"21","2022-07-07","TNHA","TNHA-BASE",1,1.25
"22","2022-07-08","TNHA","TNHA-BASE",1,0.447916666666667
"23","2022-07-09","TNHA","TNHA-BASE",1,2.15625
"24","2022-07-10","TNHA","TNHA-BASE",1,0.885416666666666
"25","2022-07-11","TNHA","TNHA-BASE",1,0
"26","2022-07-12","TNHA","TNHA-BASE",1,0
"27","2022-07-13","TNHA","TNHA-BASE",1,0
"28","2022-07-14","TNHA","TNHA-BASE",1,0.0729166666666667
"29","2022-07-15","TNHA","TNHA-BASE",1,0.0208333333333333
"30","2022-07-16","TNHA","TNHA-BASE",1,0.375
"31","2022-07-17","TNHA","TNHA-BASE",1,3.26041666666667
"32","2022-07-18","TNHA","TNHA-BASE",1,2.94791666666667
"33","2022-07-19","TNHA","TNHA-BASE",1,0.4375
"34","2022-07-20","TNHA","TNHA-BASE",1,1.22916666666667
"35","2022-07-21","TNHA","TNHA-BASE",1,3.33333333333333
"36","2022-07-22","TNHA","TNHA-BASE",1,1.34375
"37","2022-07-23","TNHA","TNHA-BASE",1,0.645833333333333
"38","2022-07-24","TNHA","TNHA-BASE",1,0.28125
"39","2022-07-25","TNHA","TNHA-BASE",1,3.66666666666667
"40","2022-07-26","TNHA","TNHA-BASE",1,3.25
"41","2022-07-27","TNHA","TNHA-BASE",1,0
"42","2022-07-28","TNHA","TNHA-BASE",1,0
"43","2022-07-29","TNHA","TNHA-BASE",1,0
"44","2022-07-30","TNHA","TNHA-BASE",1,0.0104166666666667
"45","2022-07-31","TNHA","TNHA-BASE",1,0
"46","2022-08-01","TNHA","TNHA-BASE",1,0.8125
"47","2022-08-02","TNHA","TNHA-BASE",1,1.26041666666667
"48","2022-08-03","TNHA","TNHA-BASE",1,0.447916666666667
"49","2022-08-04","TNHA","TNHA-BASE",1,0.28125
"50","2022-08-05","TNHA","TNHA-BASE",1,0.0520833333333333
"51","2022-08-06","TNHA","TNHA-BASE",1,0.0833333333333334
"52","2022-08-07","TNHA","TNHA-BASE",1,0.0625
"53","2022-08-08","TNHA","TNHA-BASE",1,2.40625
"54","2022-08-09","TNHA","TNHA-BASE",1,0.302083333333333
"55","2022-08-10","TNHA","TNHA-BASE",1,0.125
"56","2022-08-11","TNHA","TNHA-BASE",1,0.333333333333333
"57","2022-08-12","TNHA","TNHA-BASE",1,0.291666666666667
"58","2022-08-13","TNHA","TNHA-BASE",1,0
